CheckInID,MemberID,CheckInDate,CheckInHour,ClassAttended,DurationMinutes
CI000039,M0004,2025-04-30,16,Gym Floor,97
CI000040,M0004,2025-05-17,16,Gym Floor,57
CI000041,M0004,2025-05-06,8,Yoga,84
CI000042,M0004,2025-04-27,17,Gym Floor,58
CI000043,M0004,2025-07-13,19,Gym Floor,64
CI000044,M0004,2025-03-10,7,Gym Floor,58
CI000045,M0004,2025-07-27,11,HIIT,56
CI000046,M0004,2025-04-20,17,Gym Floor,58
CI000047,M0004,2025-04-10,16,Gym Floor,39
CI000048,M0004,2025-07-08,10,Spin,66
CI000049,M0004,2025-03-15,8,CrossFit,35
CI000050,M0004,2025-05-13,18,Spin,75
CI000051,M0005,2025-04-10,7,CrossFit,27
CI000052,M0005,2025-04-26,6,Pilates,59
CI000053,M0005,2025-07-15,10,HIIT,60
CI000054,M0005,2025-08-30,9,Yoga,84
CI000055,M0005,2025-03-18,18,Spin,35
CI000056,M0005,2025-08-24,7,Strength Training,28
CI000057,M0005,2025-07-26,17,Gym Floor,52
CI000058,M0005,2025-08-02,16,Strength Training,48
CI000059,M0005,2025-05-29,19,HIIT,68
CI000060,M0005,2025-08-28,8,Gym Floor,29
CI000061,M0005,2025-03-19,17,Gym Floor,45
CI000062,M0005,2025-06-15,18,Gym Floor,74
CI000063,M0005,2025-04-21,18,Gym Floor,65
CI000064,M0005,2025-07-30,19,Yoga,20
CI000065,M0005,2025-03-25,11,Gym Floor,84
CI000066,M0005,2025-05-31,17,Zumba,49
CI000067,M0005,2025-05-17,17,Zumba,46
CI000068,M0005,2025-05-02,7,HIIT,54
CI000069,M0005,2025-03-02,12,Cardio,55
CI000070,M0005,2025-05-17,8,HIIT,64
CI000071,M0005,2025-07-27,8,HIIT,54
CI000072,M0005,2025-03-23,11,HIIT,53
CI000073,M0005,2025-05-23,19,Gym Floor,89
CI000074,M0005,2025-06-08,11,Cardio,53
CI000075,M0005,2025-07-12,16,HIIT,73
CI000076,M0005,2025-06-25,11,CrossFit,45
CI000077,M0005,2025-03-19,10,Gym Floor,56
CI000078,M0005,2025-05-08,8,HIIT,52
CI000079,M0005,2025-05-08,18,Zumba,47
CI000080,M0005,2025-08-01,6,Strength Training,41
CI000081,M0005,2025-08-13,19,Gym Floor,65
CI000082,M0005,2025-03-14,18,Zumba,53
CI000083,M0005,2025-04-03,6,Gym Floor,48
CI000084,M0005,2025-06-23,16,HIIT,42
CI000085,M0005,2025-07-19,18,Gym Floor,58
CI000086,M0005,2025-03-19,20,Gym Floor,71
CI000087,M0005,2025-06-06,8,Strength Training,79
CI000088,M0005,2025-05-12,11,Cardio,84
CI000089,M0005,2025-04-22,18,Gym Floor,70
CI000090,M0005,2025-06-14,12,Gym Floor,41
CI000091,M0005,2025-08-29,18,Gym Floor,50
CI000092,M0005,2025-07-15,9,Gym Floor,70
CI000093,M0005,2025-04-13,9,Gym Floor,44
CI000094,M0005,2025-04-20,7,Gym Floor,58
CI000095,M0005,2025-05-09,17,CrossFit,81
CI000096,M0005,2025-04-26,12,Gym Floor,52
CI000097,M0005,2025-04-11,8,Cardio,57
CI000098,M0005,2025-03-25,7,Cardio,54
CI000099,M0005,2025-07-04,11,Gym Floor,67
CI000100,M0006,2025-03-18,7,Cardio,56
CI000101,M0007,2025-08-26,17,Gym Floor,32
CI000102,M0007,2025-07-03,19,Zumba,34
CI000103,M0007,2025-08-27,21,Gym Floor,67
CI000104,M0007,2025-03-13,18,Strength Training,104
CI000105,M0007,2025-06-02,16,Gym Floor,37
CI000106,M0007,2025-03-24,11,HIIT,34
CI000107,M0007,2025-04-26,17,Pilates,41
CI000108,M0008,2025-07-01,7,Gym Floor,32
CI000109,M0008,2025-07-08,6,Gym Floor,79
CI000110,M0008,2025-03-02,6,HIIT,25
CI000111,M0008,2025-05-27,10,Pilates,45
CI000112,M0008,2025-07-19,17,Gym Floor,80
CI000113,M0008,2025-05-16,9,Zumba,68
CI000114,M0008,2025-07-21,8,Gym Floor,75
CI000115,M0008,2025-05-04,8,Gym Floor,25
CI000116,M0008,2025-08-15,8,Gym Floor,49
CI000117,M0008,2025-05-07,19,Gym Floor,27
CI000118,M0008,2025-06-05,7,Pilates,38
CI000119,M0008,2025-08-29,17,HIIT,58
CI000120,M0009,2025-05-14,20,Yoga,62
CI000121,M0009,2025-05-10,18,Gym Floor,66
CI000122,M0009,2025-03-05,11,HIIT,69
CI000123,M0009,2025-07-18,20,Gym Floor,52
CI000124,M0009,2025-06-06,19,Spin,48
CI000125,M0009,2025-04-22,8,Gym Floor,42
CI000126,M0009,2025-06-13,17,Zumba,35
CI000127,M0009,2025-08-20,8,CrossFit,52
CI000128,M0009,2025-03-01,7,CrossFit,49
CI000129,M0009,2025-05-30,19,Gym Floor,74
CI000130,M0009,2025-07-10,18,Zumba,44
CI000131,M0009,2025-07-08,20,Pilates,53
CI000132,M0009,2025-08-15,9,Zumba,48
CI000133,M0009,2025-08-24,18,Gym Floor,61
CI000134,M0009,2025-08-05,20,Gym Floor,60
CI000135,M0009,2025-05-25,19,Gym Floor,37
CI000136,M0009,2025-04-25,18,Gym Floor,51
CI000137,M0009,2025-05-26,7,Zumba,55
CI000138,M0009,2025-07-23,16,Gym Floor,63
CI000139,M0009,2025-08-05,17,Cardio,72
CI000140,M0009,2025-06-17,8,Spin,42
CI000141,M0009,2025-05-07,10,Gym Floor,54
CI000142,M0009,2025-04-10,7,Gym Floor,51
CI000143,M0009,2025-07-16,8,CrossFit,37
CI000144,M0009,2025-05-24,18,Yoga,72
CI000145,M0010,2025-04-27,7,Spin,53
CI000146,M0010,2025-07-25,18,Pilates,68
CI000147,M0010,2025-06-05,17,Gym Floor,71
CI000148,M0010,2025-05-10,10,Gym Floor,55
CI000149,M0011,2025-04-25,20,Pilates,59
CI000150,M0011,2025-04-26,9,Yoga,35
CI000151,M0011,2025-07-09,19,CrossFit,51
CI000152,M0011,2025-04-24,6,HIIT,33
CI000153,M0011,2025-08-31,20,Gym Floor,69
CI000154,M0011,2025-05-26,18,Gym Floor,21
CI000155,M0011,2025-03-19,20,Zumba,65
CI000156,M0011,2025-05-12,6,Zumba,57
CI000157,M0011,2025-05-01,18,Gym Floor,90
CI000158,M0011,2025-04-05,7,Yoga,96
CI000159,M0011,2025-08-05,16,Gym Floor,59
CI000160,M0011,2025-03-14,9,Strength Training,27
CI000161,M0011,2025-03-12,7,Gym Floor,58
CI000162,M0011,2025-03-27,10,Gym Floor,20
CI000163,M0011,2025-05-04,8,Gym Floor,44
CI000164,M0011,2025-06-04,17,HIIT,47
CI000165,M0011,2025-06-20,20,Gym Floor,74
CI000166,M0011,2025-04-23,20,Gym Floor,58
CI000167,M0011,2025-08-11,7,Zumba,84
CI000168,M0011,2025-08-26,20,Cardio,65
CI000169,M0012,2025-03-04,19,Cardio,60
CI000170,M0012,2025-07-28,8,Spin,20
CI000171,M0012,2025-08-13,7,Gym Floor,62
CI000172,M0012,2025-06-03,16,HIIT,44
CI000173,M0012,2025-04-11,9,Gym Floor,31
CI000174,M0012,2025-06-16,21,Pilates,20
CI000175,M0012,2025-04-10,18,Gym Floor,59
CI000176,M0012,2025-04-14,18,Cardio,44
CI000177,M0012,2025-03-15,6,Gym Floor,28
CI000178,M0012,2025-05-25,20,Cardio,51
CI000179,M0012,2025-06-01,10,Gym Floor,36
CI000180,M0012,2025-05-27,8,Spin,57
CI000181,M0012,2025-07-15,8,CrossFit,29
CI000182,M0012,2025-06-09,6,Zumba,20
CI000183,M0012,2025-04-25,16,Gym Floor,56
CI000184,M0012,2025-08-02,17,Yoga,56
CI000185,M0012,2025-06-07,17,Gym Floor,42
CI000186,M0012,2025-05-31,18,Gym Floor,67
CI000187,M0012,2025-06-19,7,Gym Floor,75
CI000188,M0012,2025-06-05,11,CrossFit,99
CI000189,M0012,2025-08-20,6,HIIT,71
CI000190,M0012,2025-08-31,17,Gym Floor,58
CI000191,M0012,2025-05-06,6,Zumba,62
CI000192,M0012,2025-08-07,17,CrossFit,51
CI000193,M0012,2025-07-31,17,Spin,62
CI000194,M0012,2025-05-30,17,CrossFit,67
CI000195,M0012,2025-05-23,7,Gym Floor,59
CI000196,M0012,2025-04-21,8,Gym Floor,76
CI000197,M0012,2025-07-11,6,Gym Floor,52
CI000198,M0012,2025-05-03,17,CrossFit,40
CI000199,M0012,2025-04-13,18,Pilates,48
CI000200,M0012,2025-03-02,16,Strength Training,102
CI000201,M0012,2025-05-08,17,Gym Floor,62
CI000202,M0012,2025-05-30,9,Gym Floor,74
CI000203,M0012,2025-08-01,8,Spin,49
CI000204,M0012,2025-04-22,19,Gym Floor,37
CI000205,M0012,2025-06-03,17,Gym Floor,50
CI000206,M0012,2025-04-08,21,CrossFit,59
CI000207,M0012,2025-03-29,20,HIIT,23
CI000208,M0012,2025-05-05,6,Gym Floor,36
CI000209,M0012,2025-05-21,19,Strength Training,52
CI000210,M0013,2025-04-20,7,Spin,70
CI000211,M0013,2025-05-08,19,Pilates,58
CI000212,M0014,2025-08-11,16,Pilates,65
CI000213,M0014,2025-08-24,21,Gym Floor,65
CI000214,M0014,2025-05-29,18,CrossFit,68
CI000215,M0014,2025-03-05,7,Gym Floor,56
CI000216,M0014,2025-08-27,18,Gym Floor,46
CI000217,M0014,2025-04-24,16,Gym Floor,55
CI000218,M0014,2025-05-01,12,Gym Floor,86
CI000219,M0014,2025-07-17,10,Zumba,51
CI000220,M0014,2025-06-01,17,HIIT,76
CI000221,M0014,2025-07-16,17,Cardio,47
CI000222,M0014,2025-05-10,17,Gym Floor,32
CI000223,M0014,2025-05-19,16,Zumba,45
CI000224,M0014,2025-05-12,9,Gym Floor,72
CI000225,M0014,2025-05-29,12,Cardio,83
CI000226,M0014,2025-07-11,19,Gym Floor,64
CI000227,M0014,2025-06-13,7,Yoga,66
CI000228,M0014,2025-05-26,17,Pilates,79
CI000229,M0014,2025-07-03,19,Gym Floor,78
CI000230,M0014,2025-05-21,19,Spin,64
CI000231,M0014,2025-07-26,19,Yoga,54
CI000232,M0014,2025-06-25,6,Gym Floor,48
CI000233,M0014,2025-03-03,18,Pilates,46
CI000234,M0014,2025-05-16,8,Strength Training,57
CI000235,M0015,2025-03-28,8,Strength Training,32
CI000236,M0015,2025-07-22,17,Yoga,67
CI000237,M0015,2025-05-18,16,Gym Floor,52
CI000238,M0015,2025-03-07,19,CrossFit,77
CI000239,M0015,2025-05-18,8,Gym Floor,59
CI000240,M0015,2025-06-25,20,Gym Floor,28
CI000241,M0015,2025-03-01,16,Pilates,51
CI000242,M0017,2025-07-06,12,Spin,38
CI000243,M0017,2025-06-24,19,Cardio,79
CI000244,M0017,2025-03-22,8,Cardio,32
CI000245,M0017,2025-06-11,6,HIIT,72
CI000246,M0017,2025-08-06,7,Yoga,53
CI000247,M0017,2025-06-09,8,Pilates,35
CI000248,M0017,2025-03-02,7,Gym Floor,69
CI000249,M0017,2025-05-21,11,Gym Floor,23
CI000250,M0017,2025-06-07,17,CrossFit,20
CI000251,M0018,2025-08-18,7,Gym Floor,39
CI000252,M0018,2025-06-08,19,Spin,70
CI000253,M0018,2025-07-03,7,Pilates,81
CI000254,M0018,2025-08-24,19,Pilates,29
CI000255,M0018,2025-07-09,11,Gym Floor,50
CI000256,M0018,2025-04-27,6,Gym Floor,62
CI000257,M0018,2025-06-27,18,Gym Floor,55
CI000258,M0018,2025-07-11,7,Gym Floor,70
CI000259,M0018,2025-07-15,6,Gym Floor,28
CI000260,M0018,2025-03-29,19,Pilates,57
CI000261,M0018,2025-07-15,10,Gym Floor,33
CI000262,M0018,2025-07-19,19,Zumba,87
CI000263,M0018,2025-07-15,6,Cardio,58
CI000264,M0018,2025-07-08,8,Spin,37
CI000265,M0019,2025-04-13,17,Gym Floor,78
CI000266,M0019,2025-03-30,6,Zumba,42
CI000267,M0019,2025-05-06,21,Pilates,47
CI000268,M0019,2025-04-18,19,HIIT,71
CI000269,M0019,2025-03-11,17,Spin,49
CI000270,M0019,2025-04-13,19,HIIT,56
CI000271,M0019,2025-07-03,9,Yoga,71
CI000272,M0019,2025-05-14,18,Zumba,77
CI000273,M0019,2025-08-02,6,Gym Floor,75
CI000274,M0019,2025-08-17,18,Gym Floor,20
CI000275,M0019,2025-04-02,12,Gym Floor,67
CI000276,M0019,2025-03-26,7,HIIT,44
CI000277,M0019,2025-06-25,19,Pilates,43
CI000278,M0019,2025-03-18,8,Gym Floor,56
CI000279,M0020,2025-04-08,16,Yoga,69
CI000280,M0020,2025-04-15,19,HIIT,57
CI000281,M0020,2025-08-02,18,Gym Floor,67
CI000282,M0020,2025-03-06,16,Gym Floor,45
CI000283,M0020,2025-07-20,17,Zumba,31
CI000284,M0020,2025-08-30,8,HIIT,51
CI000285,M0020,2025-07-31,20,Gym Floor,65
CI000286,M0020,2025-06-28,19,CrossFit,20
CI000287,M0020,2025-07-25,7,Gym Floor,63
CI000288,M0020,2025-07-17,9,Yoga,36
CI000289,M0020,2025-05-30,6,Cardio,50
CI000290,M0020,2025-08-20,11,Pilates,44
CI000291,M0020,2025-06-08,21,Gym Floor,62
CI000292,M0020,2025-07-21,11,Strength Training,73
CI000293,M0020,2025-05-13,7,Gym Floor,35
CI000294,M0020,2025-05-05,18,Gym Floor,38
CI000295,M0020,2025-03-26,21,Gym Floor,60
CI000296,M0020,2025-07-24,10,Gym Floor,39
CI000297,M0020,2025-05-04,11,Gym Floor,80
CI000298,M0020,2025-06-08,7,Gym Floor,46
CI000299,M0021,2025-08-15,10,Zumba,44
CI000300,M0021,2025-08-05,7,Gym Floor,65
CI000301,M0021,2025-05-08,6,CrossFit,59
CI000302,M0021,2025-03-31,16,CrossFit,54
CI000303,M0021,2025-06-13,6,Spin,20
CI000304,M0021,2025-04-30,6,Gym Floor,93
CI000305,M0021,2025-07-08,18,Yoga,62
CI000306,M0021,2025-04-20,19,CrossFit,37
CI000307,M0021,2025-07-31,7,Gym Floor,63
CI000308,M0021,2025-06-11,8,Gym Floor,81
CI000309,M0022,2025-07-02,21,CrossFit,66
CI000310,M0022,2025-08-25,18,Gym Floor,62
CI000311,M0022,2025-06-24,11,Gym Floor,50
CI000312,M0022,2025-04-16,12,Zumba,47
CI000313,M0022,2025-07-06,17,Gym Floor,60
CI000314,M0022,2025-05-02,9,HIIT,65
CI000315,M0022,2025-03-24,19,Cardio,37
CI000316,M0022,2025-03-16,12,Spin,59
CI000317,M0022,2025-07-29,19,Gym Floor,20
CI000318,M0022,2025-07-20,16,Gym Floor,47
CI000319,M0022,2025-08-28,16,Zumba,47
CI000320,M0022,2025-03-18,17,Gym Floor,52
CI000321,M0022,2025-08-29,17,Strength Training,66
CI000322,M0022,2025-07-31,7,Spin,98
CI000323,M0023,2025-05-30,18,Pilates,63
CI000324,M0023,2025-08-15,7,Spin,20
CI000325,M0023,2025-08-25,9,CrossFit,50
CI000326,M0023,2025-07-26,18,Spin,26
CI000327,M0023,2025-04-30,8,Zumba,68
CI000328,M0023,2025-04-14,18,HIIT,20
CI000329,M0023,2025-06-29,8,Gym Floor,78
CI000330,M0023,2025-04-28,19,Yoga,39
CI000331,M0023,2025-07-20,16,CrossFit,58
CI000332,M0023,2025-05-30,10,Gym Floor,37
CI000333,M0024,2025-06-18,8,Gym Floor,70
CI000334,M0024,2025-08-05,7,Zumba,33
CI000335,M0024,2025-03-11,19,Gym Floor,20
CI000336,M0024,2025-07-18,17,Gym Floor,56
CI000337,M0024,2025-08-12,18,HIIT,72
CI000338,M0024,2025-07-10,18,Strength Training,27
CI000339,M0024,2025-05-29,16,HIIT,44
CI000340,M0024,2025-04-19,6,Yoga,63
CI000341,M0024,2025-07-17,17,Spin,55
CI000342,M0024,2025-05-14,6,Gym Floor,87
CI000343,M0024,2025-08-18,21,Gym Floor,69
CI000344,M0024,2025-04-19,18,Gym Floor,54
CI000345,M0024,2025-05-17,12,Strength Training,57
CI000346,M0024,2025-05-20,19,Pilates,45
CI000347,M0024,2025-05-06,19,Gym Floor,76
CI000348,M0024,2025-08-04,8,Cardio,38
CI000349,M0024,2025-07-20,6,Gym Floor,42
CI000350,M0024,2025-03-06,8,CrossFit,72
CI000351,M0024,2025-03-24,8,Gym Floor,55
CI000352,M0024,2025-08-10,18,Gym Floor,72
CI000353,M0024,2025-07-01,10,CrossFit,67
CI000354,M0024,2025-04-22,11,Spin,60
CI000355,M0025,2025-04-18,8,Zumba,36
CI000356,M0025,2025-03-07,18,Pilates,48
CI000357,M0025,2025-06-11,7,Gym Floor,45
CI000358,M0025,2025-03-07,16,Cardio,78
CI000359,M0025,2025-06-19,10,Gym Floor,79
CI000360,M0026,2025-03-07,18,HIIT,78
CI000361,M0026,2025-06-14,18,Strength Training,34
CI000362,M0027,2025-03-25,18,Strength Training,61
CI000363,M0027,2025-04-08,7,CrossFit,50
CI000364,M0027,2025-07-25,17,Gym Floor,38
CI000365,M0027,2025-08-08,19,Pilates,55
CI000366,M0027,2025-04-23,19,Cardio,77
CI000367,M0027,2025-07-01,10,Gym Floor,56
CI000368,M0027,2025-08-30,18,Gym Floor,41
CI000369,M0027,2025-06-05,19,CrossFit,55
CI000370,M0027,2025-03-01,18,CrossFit,80
CI000371,M0028,2025-03-17,12,Gym Floor,34
CI000372,M0028,2025-08-10,20,Gym Floor,52
CI000373,M0028,2025-04-23,19,Gym Floor,43
CI000374,M0028,2025-07-30,10,CrossFit,50
CI000375,M0028,2025-03-08,6,Gym Floor,59
CI000376,M0028,2025-08-12,10,CrossFit,33
CI000377,M0028,2025-05-18,19,Zumba,86
CI000378,M0029,2025-04-02,20,Gym Floor,52
CI000379,M0029,2025-07-27,9,Pilates,58
CI000380,M0029,2025-05-04,6,CrossFit,98
CI000381,M0029,2025-03-10,18,Strength Training,43
CI000382,M0029,2025-08-24,21,Cardio,54
CI000383,M0029,2025-04-08,12,CrossFit,47
CI000384,M0029,2025-07-10,19,Gym Floor,46
CI000385,M0029,2025-04-04,17,Gym Floor,49
CI000386,M0029,2025-05-19,19,CrossFit,77
CI000387,M0029,2025-04-27,18,Cardio,49
CI000388,M0029,2025-05-29,17,Spin,81
CI000389,M0029,2025-05-16,18,CrossFit,56
CI000390,M0029,2025-08-06,12,Gym Floor,71
CI000391,M0030,2025-04-02,19,Gym Floor,64
CI000392,M0030,2025-06-20,18,Zumba,51
CI000393,M0030,2025-05-24,17,Gym Floor,64
CI000394,M0030,2025-06-23,8,Pilates,38
CI000395,M0030,2025-05-06,21,Zumba,39
CI000396,M0030,2025-04-21,18,Gym Floor,57
CI000397,M0030,2025-04-11,12,Gym Floor,51
CI000398,M0030,2025-06-14,12,Pilates,75
CI000399,M0030,2025-06-22,19,Strength Training,47
CI000400,M0030,2025-04-07,16,Gym Floor,55
CI000401,M0030,2025-05-29,8,Zumba,32
CI000402,M0030,2025-08-17,19,Gym Floor,47
CI000403,M0030,2025-06-11,18,HIIT,71
CI000404,M0030,2025-05-01,18,Yoga,23
CI000405,M0030,2025-06-04,16,Zumba,82
CI000406,M0030,2025-07-26,17,Strength Training,56
CI000407,M0030,2025-08-29,8,Strength Training,35
CI000408,M0030,2025-04-06,16,Gym Floor,65
CI000409,M0030,2025-06-12,12,Cardio,22
CI000410,M0031,2025-06-26,17,Pilates,42
CI000411,M0031,2025-08-09,21,Gym Floor,89
CI000412,M0031,2025-04-14,16,Strength Training,52
CI000413,M0031,2025-08-24,18,Gym Floor,63
CI000414,M0031,2025-07-01,17,Gym Floor,74
CI000415,M0031,2025-06-09,17,Cardio,59
CI000416,M0031,2025-05-21,10,Zumba,37
CI000417,M0031,2025-03-06,7,Cardio,32
CI000418,M0031,2025-08-24,9,Zumba,20
CI000419,M0031,2025-06-18,8,Spin,49
CI000420,M0031,2025-03-25,7,Spin,38
CI000421,M0031,2025-06-02,17,Gym Floor,32
CI000422,M0031,2025-07-19,19,Gym Floor,72
CI000423,M0031,2025-08-14,8,Gym Floor,61
CI000424,M0031,2025-03-31,18,Gym Floor,72
CI000425,M0031,2025-05-14,18,Gym Floor,65
CI000426,M0031,2025-08-14,6,Gym Floor,54
CI000427,M0031,2025-08-19,18,CrossFit,58
CI000428,M0032,2025-04-30,8,Gym Floor,76
CI000429,M0032,2025-05-09,16,HIIT,33
CI000430,M0032,2025-06-21,17,Pilates,62
CI000431,M0032,2025-07-31,18,Gym Floor,69
CI000432,M0032,2025-07-17,10,Cardio,39
CI000433,M0032,2025-04-21,8,Zumba,45
CI000434,M0032,2025-06-01,9,Gym Floor,52
CI000435,M0032,2025-07-23,9,Zumba,36
CI000436,M0032,2025-03-06,18,Gym Floor,65
CI000437,M0032,2025-05-28,18,Yoga,58
CI000438,M0032,2025-03-16,6,CrossFit,46
CI000439,M0032,2025-05-27,16,Gym Floor,20
CI000440,M0032,2025-06-21,16,HIIT,56
CI000441,M0033,2025-08-02,10,Strength Training,73
CI000442,M0033,2025-06-02,11,Gym Floor,48
CI000443,M0033,2025-03-12,8,Gym Floor,73
CI000444,M0033,2025-04-26,20,Yoga,98
CI000445,M0033,2025-06-29,16,Cardio,68
CI000446,M0033,2025-04-12,8,Yoga,56
CI000447,M0033,2025-04-06,6,Pilates,72
CI000448,M0033,2025-05-18,16,Gym Floor,86
CI000449,M0033,2025-08-23,16,Gym Floor,67
CI000450,M0033,2025-04-15,7,Gym Floor,68
CI000451,M0033,2025-03-11,10,Gym Floor,78
CI000452,M0033,2025-03-31,18,HIIT,50
CI000453,M0033,2025-08-31,10,Gym Floor,40
CI000454,M0033,2025-07-08,18,Gym Floor,58
CI000455,M0033,2025-08-06,18,Strength Training,70
CI000456,M0033,2025-07-16,8,Gym Floor,51
CI000457,M0033,2025-05-10,8,Yoga,45
CI000458,M0034,2025-04-12,8,HIIT,42
CI000459,M0035,2025-07-17,17,Strength Training,77
CI000460,M0035,2025-07-27,18,Pilates,40
CI000461,M0035,2025-07-26,7,Yoga,70
CI000462,M0035,2025-03-24,19,Gym Floor,61
CI000463,M0035,2025-03-24,16,Gym Floor,61
CI000464,M0035,2025-08-10,9,Gym Floor,64
CI000465,M0035,2025-04-23,10,Strength Training,65
CI000466,M0035,2025-07-20,11,CrossFit,44
CI000467,M0035,2025-04-01,16,Gym Floor,77
CI000468,M0036,2025-07-08,9,Zumba,26
CI000469,M0036,2025-04-21,8,Pilates,91
CI000470,M0036,2025-08-15,10,CrossFit,65
CI000471,M0036,2025-07-28,8,Zumba,40
CI000472,M0036,2025-07-04,8,CrossFit,51
CI000473,M0036,2025-07-07,19,Gym Floor,80
CI000474,M0036,2025-05-11,7,Gym Floor,61
CI000475,M0036,2025-03-30,16,Strength Training,51
CI000476,M0036,2025-07-10,18,Gym Floor,64
CI000477,M0036,2025-07-24,19,CrossFit,74
CI000478,M0036,2025-07-03,18,Gym Floor,58
CI000479,M0036,2025-07-15,6,Gym Floor,26
CI000480,M0036,2025-07-28,16,Gym Floor,42
CI000481,M0036,2025-04-25,6,Yoga,41
CI000482,M0037,2025-04-20,17,HIIT,53
CI000483,M0037,2025-08-16,17,Gym Floor,98
CI000484,M0037,2025-03-08,9,Cardio,62
CI000485,M0037,2025-04-20,9,Gym Floor,59
CI000486,M0037,2025-06-14,7,Spin,54
CI000487,M0037,2025-05-04,17,Cardio,62
CI000488,M0037,2025-06-06,11,Cardio,61
CI000489,M0037,2025-05-04,7,Gym Floor,39
CI000490,M0037,2025-03-23,9,Yoga,39
CI000491,M0037,2025-06-06,6,HIIT,65
CI000492,M0037,2025-05-03,18,Gym Floor,20
CI000493,M0037,2025-03-10,19,Gym Floor,57
CI000494,M0037,2025-04-17,16,Cardio,47
CI000495,M0037,2025-06-08,20,Gym Floor,52
CI000496,M0037,2025-04-03,21,Gym Floor,88
CI000497,M0037,2025-05-09,8,CrossFit,66
CI000498,M0037,2025-05-11,20,Spin,35
CI000499,M0037,2025-08-19,19,Gym Floor,47
CI000500,M0037,2025-07-01,18,Cardio,36
CI000501,M0037,2025-03-21,17,Gym Floor,56
CI000502,M0037,2025-06-18,8,Cardio,85
CI000503,M0037,2025-05-09,6,CrossFit,82
CI000504,M0037,2025-08-26,6,Strength Training,38
CI000505,M0037,2025-08-05,21,Gym Floor,31
CI000506,M0037,2025-05-28,20,Yoga,44
CI000507,M0037,2025-03-23,18,HIIT,64
CI000508,M0037,2025-08-10,12,Gym Floor,56
CI000509,M0037,2025-08-07,10,Gym Floor,30
CI000510,M0037,2025-06-04,16,Gym Floor,49
CI000511,M0037,2025-08-12,18,Zumba,75
CI000512,M0037,2025-08-22,20,Spin,57
CI000513,M0037,2025-07-23,7,Spin,20
CI000514,M0037,2025-03-20,11,Pilates,81
CI000515,M0037,2025-03-31,19,CrossFit,23
CI000516,M0037,2025-03-19,19,Gym Floor,104
CI000517,M0037,2025-03-03,8,Yoga,70
CI000518,M0037,2025-03-09,16,Spin,43
CI000519,M0037,2025-07-17,20,Gym Floor,79
CI000520,M0037,2025-03-04,19,Gym Floor,43
CI000521,M0037,2025-04-16,19,Gym Floor,60
CI000522,M0037,2025-05-07,17,Gym Floor,50
CI000523,M0037,2025-03-04,17,Gym Floor,29
CI000524,M0037,2025-05-16,16,CrossFit,74
CI000525,M0037,2025-06-21,16,Spin,79
CI000526,M0038,2025-04-27,17,CrossFit,43
CI000527,M0038,2025-05-23,6,CrossFit,48
CI000528,M0038,2025-04-16,6,Gym Floor,45
CI000529,M0038,2025-04-12,12,Cardio,60
CI000530,M0038,2025-04-28,18,Gym Floor,69
CI000531,M0038,2025-04-18,16,Strength Training,86
CI000532,M0038,2025-06-02,10,Gym Floor,42
CI000533,M0038,2025-03-15,8,Gym Floor,52
CI000534,M0038,2025-08-19,12,Gym Floor,43
CI000535,M0038,2025-04-21,18,HIIT,87
CI000536,M0038,2025-03-25,19,Gym Floor,56
