MemberID,Gender,Age,AgeGroup,JoinDate,MembershipPlan,MonthlyFee,PlanPrice,Status,PreferredClass,City
M0093,Male,64,55+,2024-09-16,Annual,33.33,399.99,Active,Spin,Faisalabad
M0094,Male,51,45-54,2023-08-01,Premium,79.99,79.99,Cancelled,HIIT,Karachi
M0095,Male,51,45-54,2024-03-08,Standard,49.99,49.99,Active,Pilates,Lahore
M0096,Female,59,55+,2024-09-10,Annual,33.33,399.99,Active,Spin,Faisalabad
M0097,Male,34,25-34,2024-06-18,Standard,49.99,49.99,Cancelled,CrossFit,Faisalabad
M0098,Female,60,55+,2023-06-30,Standard,49.99,49.99,Active,Strength Training,Islamabad
M0099,Male,48,45-54,2022-04-21,Basic,29.99,29.99,Active,CrossFit,Rawalpindi
M0100,Male,49,45-54,2022-12-26,Premium,79.99,79.99,Active,Spin,Karachi
M0101,Male,22,18-24,2022-03-02,Basic,29.99,29.99,Active,HIIT,Faisalabad
M0102,Male,58,55+,2023-06-18,Basic,29.99,29.99,Active,Pilates,Karachi
M0103,Male,39,35-44,2025-01-01,Basic,29.99,29.99,Active,Pilates,Islamabad
M0104,Female,53,45-54,2024-04-10,Standard,49.99,49.99,Active,Yoga,Islamabad
M0105,Female,31,25-34,2023-12-20,Standard,49.99,49.99,Cancelled,Zumba,Multan
M0106,Female,24,18-24,2022-12-31,Basic,29.99,29.99,Active,Zumba,Multan
M0107,Female,55,55+,2022-12-29,Standard,49.99,49.99,Active,Zumba,Lahore
M0108,Male,34,25-34,2023-04-30,Basic,29.99,29.99,Expired,HIIT,Multan
M0109,Female,42,35-44,2024-03-22,Basic,29.99,29.99,Active,Strength Training,Lahore
M0110,Female,39,35-44,2022-04-19,Standard,49.99,49.99,Expired,CrossFit,Lahore
M0111,Female,23,18-24,2024-01-18,Basic,29.99,29.99,Active,CrossFit,Karachi
M0112,Male,50,45-54,2022-11-11,Annual,33.33,399.99,Active,Spin,Multan
M0113,Male,47,45-54,2023-09-16,Basic,29.99,29.99,Active,Zumba,Lahore
M0114,Other,54,45-54,2024-01-29,Basic,29.99,29.99,Active,Zumba,Multan
M0115,Female,23,18-24,2023-04-13,Annual,33.33,399.99,Expired,Pilates,Multan
M0116,Female,28,25-34,2024-08-04,Premium,79.99,79.99,Expired,Strength Training,Faisalabad
M0117,Male,37,35-44,2022-11-22,Annual,33.33,399.99,Active,Yoga,Rawalpindi
M0118,Female,55,55+,2023-07-13,Premium,79.99,79.99,Expired,Strength Training,Rawalpindi
M0119,Female,27,25-34,2024-04-24,Standard,49.99,49.99,Active,HIIT,Rawalpindi
M0120,Male,18,18-24,2024-06-16,Standard,49.99,49.99,Cancelled,Yoga,Lahore
M0121,Male,52,45-54,2024-02-16,Standard,49.99,49.99,Active,Yoga,Faisalabad
M0122,Female,28,25-34,2022-11-14,Premium,79.99,79.99,Active,Cardio,Islamabad
M0123,Male,46,45-54,2023-05-28,Premium,79.99,79.99,Expired,Yoga,Faisalabad
M0124,Female,54,45-54,2022-09-27,Premium,79.99,79.99,Cancelled,Strength Training,Multan
M0125,Female,42,35-44,2023-07-28,Standard,49.99,49.99,Cancelled,CrossFit,Multan
M0126,Male,40,35-44,2024-03-10,Standard,49.99,49.99,Active,Yoga,Lahore
M0127,Male,31,25-34,2022-05-25,Annual,33.33,399.99,Active,CrossFit,Islamabad
M0128,Female,24,18-24,2024-11-28,Basic,29.99,29.99,Cancelled,HIIT,Rawalpindi
M0129,Female,47,45-54,2024-11-04,Annual,33.33,399.99,Active,Cardio,Faisalabad
M0130,Female,44,35-44,2023-07-04,Premium,79.99,79.99,Expired,Pilates,Rawalpindi
M0131,Male,27,25-34,2023-08-21,Premium,79.99,79.99,Active,Pilates,Faisalabad
M0132,Female,32,25-34,2024-03-25,Premium,79.99,79.99,Active,Spin,Faisalabad
M0133,Female,44,35-44,2022-02-16,Standard,49.99,49.99,Expired,Strength Training,Rawalpindi
M0134,Female,28,25-34,2024-03-04,Basic,29.99,29.99,Active,CrossFit,Multan
M0135,Male,60,55+,2023-12-13,Standard,49.99,49.99,Active,Spin,Multan
M0136,Female,60,55+,2024-09-11,Basic,29.99,29.99,Expired,Cardio,Rawalpindi
M0137,Male,45,45-54,2024-06-06,Basic,29.99,29.99,Expired,Yoga,Multan
M0138,Female,39,35-44,2022-02-20,Premium,79.99,79.99,Cancelled,Yoga,Multan
M0139,Female,57,55+,2023-02-24,Basic,29.99,29.99,Cancelled,Zumba,Lahore
M0140,Male,58,55+,2022-07-21,Premium,79.99,79.99,Active,Cardio,Lahore
M0141,Female,44,35-44,2022-03-16,Annual,33.33,399.99,Active,Yoga,Islamabad
M0142,Female,41,35-44,2024-08-12,Standard,49.99,49.99,Active,Cardio,Multan
M0143,Male,43,35-44,2022-06-26,Premium,79.99,79.99,Active,Spin,Lahore
M0144,Male,37,35-44,2024-08-24,Annual,33.33,399.99,Active,Cardio,Faisalabad
M0145,Female,47,45-54,2023-07-15,Basic,29.99,29.99,Active,Strength Training,Islamabad
M0146,Male,46,45-54,2022-02-01,Standard,49.99,49.99,Expired,CrossFit,Islamabad
M0147,Female,19,18-24,2022-01-18,Basic,29.99,29.99,Expired,Yoga,Karachi
M0148,Male,46,45-54,2024-08-04,Basic,29.99,29.99,Active,Strength Training,Karachi
M0149,Female,45,45-54,2022-06-11,Standard,49.99,49.99,Active,Zumba,Faisalabad
M0150,Male,41,35-44,2024-10-28,Basic,29.99,29.99,Active,Zumba,Faisalabad
M0151,Female,20,18-24,2022-11-24,Basic,29.99,29.99,Expired,Cardio,Karachi
M0152,Female,63,55+,2022-04-06,Annual,33.33,399.99,Active,Cardio,Rawalpindi
M0153,Male,35,35-44,2022-06-14,Basic,29.99,29.99,Active,Zumba,Lahore
M0154,Female,36,35-44,2022-05-31,Premium,79.99,79.99,Active,Cardio,Karachi
M0155,Male,28,25-34,2023-05-29,Annual,33.33,399.99,Active,HIIT,Islamabad
M0156,Male,54,45-54,2023-04-16,Basic,29.99,29.99,Cancelled,Pilates,Lahore
M0157,Female,39,35-44,2024-12-12,Basic,29.99,29.99,Cancelled,Yoga,Karachi
M0158,Male,49,45-54,2023-09-24,Annual,33.33,399.99,Active,Strength Training,Lahore
M0159,Male,42,35-44,2023-06-10,Premium,79.99,79.99,Expired,Pilates,Multan
M0160,Female,62,55+,2023-05-09,Annual,33.33,399.99,Active,Spin,Islamabad
M0161,Male,53,45-54,2024-04-17,Annual,33.33,399.99,Active,HIIT,Lahore
M0162,Male,59,55+,2024-09-24,Premium,79.99,79.99,Active,Strength Training,Lahore
M0163,Female,62,55+,2023-10-08,Premium,79.99,79.99,Active,Zumba,Karachi
M0164,Male,63,55+,2024-07-10,Standard,49.99,49.99,Expired,Cardio,Multan
M0165,Male,46,45-54,2024-03-29,Basic,29.99,29.99,Expired,CrossFit,Islamabad
M0166,Female,52,45-54,2023-11-07,Premium,79.99,79.99,Active,Zumba,Multan
M0167,Female,53,45-54,2023-02-10,Premium,79.99,79.99,Active,Strength Training,Islamabad
M0168,Female,26,25-34,2024-08-15,Annual,33.33,399.99,Active,Spin,Lahore
M0169,Female,60,55+,2023-12-14,Standard,49.99,49.99,Active,Yoga,Islamabad
M0170,Male,47,45-54,2022-05-11,Basic,29.99,29.99,Active,Cardio,Islamabad
M0171,Female,34,25-34,2024-12-03,Premium,79.99,79.99,Cancelled,Zumba,Lahore
M0172,Female,25,25-34,2022-01-12,Standard,49.99,49.99,Cancelled,Yoga,Faisalabad
M0173,Male,35,35-44,2023-01-09,Standard,49.99,49.99,Cancelled,Zumba,Islamabad
M0174,Female,27,25-34,2023-05-04,Annual,33.33,399.99,Active,Yoga,Karachi
M0175,Female,32,25-34,2024-09-07,Standard,49.99,49.99,Active,Yoga,Islamabad
M0176,Male,46,45-54,2023-11-19,Basic,29.99,29.99,Active,Pilates,Rawalpindi
M0177,Male,56,55+,2024-07-23,Standard,49.99,49.99,Active,Zumba,Islamabad
M0178,Female,54,45-54,2023-09-12,Basic,29.99,29.99,Active,HIIT,Rawalpindi
M0179,Female,46,45-54,2022-02-08,Standard,49.99,49.99,Active,Spin,Karachi
M0180,Male,19,18-24,2022-01-16,Standard,49.99,49.99,Cancelled,HIIT,Karachi
M0181,Female,35,35-44,2023-02-18,Basic,29.99,29.99,Active,Strength Training,Islamabad
M0182,Male,46,45-54,2024-11-28,Basic,29.99,29.99,Active,Cardio,Lahore
M0183,Male,27,25-34,2022-09-29,Annual,33.33,399.99,Cancelled,Zumba,Rawalpindi
M0184,Male,62,55+,2023-01-24,Premium,79.99,79.99,Active,Pilates,Karachi
M0185,Female,18,18-24,2022-11-20,Premium,79.99,79.99,Expired,Zumba,Lahore
M0186,Female,29,25-34,2023-02-03,Standard,49.99,49.99,Expired,Spin,Faisalabad
M0187,Female,63,55+,2024-07-27,Standard,49.99,49.99,Cancelled,Pilates,Faisalabad
M0188,Female,25,25-34,2022-08-14,Basic,29.99,29.99,Cancelled,Zumba,Multan
M0189,Male,60,55+,2024-06-03,Premium,79.99,79.99,Active,HIIT,Lahore
M0190,Male,22,18-24,2024-01-23,Annual,33.33,399.99,Expired,Zumba,Lahore
M0191,Male,59,55+,2024-11-09,Annual,33.33,399.99,Active,HIIT,Multan
M0192,Male,30,25-34,2022-08-04,Annual,33.33,399.99,Active,Zumba,Lahore
M0193,Female,28,25-34,2022-11-25,Annual,33.33,399.99,Expired,Strength Training,Islamabad
M0194,Female,51,45-54,2024-09-14,Standard,49.99,49.99,Active,Yoga,Lahore
M0195,Male,55,55+,2024-08-12,Basic,29.99,29.99,Active,Spin,Karachi
M0196,Female,30,25-34,2024-07-02,Basic,29.99,29.99,Active,Spin,Lahore
M0197,Male,20,18-24,2024-11-29,Annual,33.33,399.99,Active,HIIT,Islamabad
M0198,Male,50,45-54,2022-08-04,Premium,79.99,79.99,Expired,CrossFit,Lahore
M0199,Male,59,55+,2024-02-20,Premium,79.99,79.99,Expired,Strength Training,Multan
M0200,Female,48,45-54,2023-12-01,Basic,29.99,29.99,Cancelled,HIIT,Islamabad
M0201,Male,46,45-54,2022-03-23,Premium,79.99,79.99,Cancelled,HIIT,Faisalabad
M0202,Male,57,55+,2024-12-05,Standard,49.99,49.99,Expired,Cardio,Faisalabad
M0203,Female,24,18-24,2023-11-06,Basic,29.99,29.99,Active,CrossFit,Karachi
M0204,Female,39,35-44,2023-07-26,Basic,29.99,29.99,Expired,CrossFit,Rawalpindi
M0205,Female,34,25-34,2024-01-01,Basic,29.99,29.99,Expired,Yoga,Multan
M0206,Female,31,25-34,2023-04-19,Basic,29.99,29.99,Cancelled,Spin,Rawalpindi
M0207,Male,24,18-24,2024-02-02,Basic,29.99,29.99,Expired,Yoga,Multan
M0208,Male,40,35-44,2024-05-28,Standard,49.99,49.99,Expired,Pilates,Karachi
M0209,Female,56,55+,2023-05-31,Standard,49.99,49.99,Active,Spin,Faisalabad
M0210,Male,31,25-34,2025-01-03,Basic,29.99,29.99,Active,Strength Training,Islamabad
M0211,Female,46,45-54,2024-04-28,Annual,33.33,399.99,Active,CrossFit,Faisalabad
M0212,Male,20,18-24,2022-03-25,Standard,49.99,49.99,Active,HIIT,Rawalpindi
M0213,Female,42,35-44,2024-07-22,Basic,29.99,29.99,Active,HIIT,Rawalpindi
M0214,Female,42,35-44,2022-07-27,Standard,49.99,49.99,Active,Spin,Islamabad
M0215,Female,41,35-44,2022-07-18,Standard,49.99,49.99,Active,Strength Training,Rawalpindi
M0216,Female,34,25-34,2023-06-11,Standard,49.99,49.99,Active,Cardio,Rawalpindi
M0217,Female,39,35-44,2023-06-05,Basic,29.99,29.99,Active,Spin,Karachi
M0218,Male,25,25-34,2023-08-07,Standard,49.99,49.99,Active,Pilates,Karachi
M0219,Female,42,35-44,2023-08-30,Premium,79.99,79.99,Expired,Pilates,Lahore
M0220,Male,34,25-34,2024-02-18,Standard,49.99,49.99,Active,Pilates,Multan
M0221,Female,49,45-54,2022-04-02,Premium,79.99,79.99,Expired,Yoga,Karachi
M0222,Female,50,45-54,2022-08-13,Basic,29.99,29.99,Active,HIIT,Multan
M0223,Male,32,25-34,2022-07-13,Annual,33.33,399.99,Active,Zumba,Rawalpindi
M0224,Female,23,18-24,2022-11-13,Premium,79.99,79.99,Active,Zumba,Lahore
M0225,Male,37,35-44,2023-12-17,Annual,33.33,399.99,Active,Strength Training,Islamabad
M0226,Male,43,35-44,2022-07-27,Standard,49.99,49.99,Cancelled,Zumba,Lahore
M0227,Male,29,25-34,2024-05-23,Standard,49.99,49.99,Expired,Spin,Lahore
M0228,Male,62,55+,2022-05-02,Standard,49.99,49.99,Active,Zumba,Faisalabad
M0229,Female,23,18-24,2023-11-26,Basic,29.99,29.99,Active,Pilates,Faisalabad
M0230,Male,27,25-34,2022-11-08,Annual,33.33,399.99,Active,Spin,Faisalabad
M0231,Female,38,35-44,2022-12-19,Premium,79.99,79.99,Active,Spin,Rawalpindi
M0232,Male,37,35-44,2024-03-15,Standard,49.99,49.99,Active,HIIT,Lahore
M0233,Male,51,45-54,2024-08-04,Standard,49.99,49.99,Active,HIIT,Karachi
M0234,Male,29,25-34,2024-07-20,Standard,49.99,49.99,Active,HIIT,Faisalabad
M0235,Female,53,45-54,2024-06-29,Basic,29.99,29.99,Expired,Zumba,Karachi
M0236,Female,54,45-54,2024-07-28,Standard,49.99,49.99,Active,Spin,Lahore
M0237,Male,31,25-34,2022-11-14,Basic,29.99,29.99,Active,Yoga,Rawalpindi
M0238,Female,42,35-44,2022-05-10,Basic,29.99,29.99,Expired,HIIT,Islamabad
M0239,Female,53,45-54,2022-09-18,Standard,49.99,49.99,Expired,Zumba,Islamabad
M0240,Male,27,25-34,2024-10-30,Basic,29.99,29.99,Active,Cardio,Multan
M0241,Male,18,18-24,2022-05-13,Basic,29.99,29.99,Expired,Pilates,Rawalpindi
M0242,Male,61,55+,2023-11-18,Premium,79.99,79.99,Active,Zumba,Multan
M0243,Male,31,25-34,2023-09-12,Standard,49.99,49.99,Active,Zumba,Faisalabad
M0244,Male,52,45-54,2024-11-09,Basic,29.99,29.99,Expired,Spin,Islamabad
M0245,Male,29,25-34,2024-04-16,Basic,29.99,29.99,Expired,Spin,Karachi
M0246,Male,56,55+,2022-05-06,Annual,33.33,399.99,Active,Zumba,Islamabad
M0247,Male,62,55+,2024-07-07,Premium,79.99,79.99,Active,HIIT,Karachi
M0248,Female,18,18-24,2024-06-10,Premium,79.99,79.99,Cancelled,Spin,Multan
M0249,Female,18,18-24,2023-06-01,Annual,33.33,399.99,Active,HIIT,Islamabad
M0250,Female,64,55+,2022-04-24,Basic,29.99,29.99,Cancelled,Cardio,Islamabad
M0251,Female,36,35-44,2022-12-11,Premium,79.99,79.99,Expired,Pilates,Faisalabad
M0252,Other,19,18-24,2024-12-28,Standard,49.99,49.99,Active,Pilates,Lahore
M0253,Female,48,45-54,2023-11-19,Premium,79.99,79.99,Active,Cardio,Karachi
M0254,Female,51,45-54,2023-05-09,Annual,33.33,399.99,Active,Yoga,Islamabad
M0255,Male,18,18-24,2024-04-01,Standard,49.99,49.99,Active,Zumba,Faisalabad
M0256,Male,49,45-54,2024-04-07,Standard,49.99,49.99,Expired,Cardio,Multan
M0257,Male,19,18-24,2024-05-16,Basic,29.99,29.99,Expired,Strength Training,Faisalabad
M0258,Male,46,45-54,2022-11-24,Standard,49.99,49.99,Active,Cardio,Faisalabad
M0259,Male,32,25-34,2022-10-31,Standard,49.99,49.99,Active,Zumba,Multan
M0260,Male,38,35-44,2023-05-13,Premium,79.99,79.99,Active,Zumba,Faisalabad
M0261,Male,32,25-34,2023-02-03,Basic,29.99,29.99,Cancelled,Spin,Multan
M0262,Male,63,55+,2024-02-26,Basic,29.99,29.99,Active,Zumba,Rawalpindi
M0263,Female,47,45-54,2022-10-18,Standard,49.99,49.99,Active,Yoga,Faisalabad
M0264,Female,24,18-24,2023-10-06,Premium,79.99,79.99,Active,HIIT,Faisalabad
M0265,Male,59,55+,2022-06-08,Premium,79.99,79.99,Active,CrossFit,Rawalpindi
M0266,Female,38,35-44,2023-07-13,Annual,33.33,399.99,Active,Yoga,Karachi
M0267,Female,59,55+,2023-06-05,Standard,49.99,49.99,Active,CrossFit,Lahore
M0268,Female,36,35-44,2024-05-08,Premium,79.99,79.99,Active,Zumba,Karachi
M0269,Male,50,45-54,2024-05-06,Basic,29.99,29.99,Expired,Spin,Lahore
M0270,Male,38,35-44,2023-04-28,Annual,33.33,399.99,Active,CrossFit,Faisalabad
M0271,Male,27,25-34,2023-02-23,Standard,49.99,49.99,Active,Spin,Faisalabad
M0272,Female,52,45-54,2023-03-17,Standard,49.99,49.99,Cancelled,HIIT,Islamabad
M0273,Male,56,55+,2023-09-29,Premium,79.99,79.99,Expired,Pilates,Islamabad
M0274,Male,53,45-54,2023-07-08,Annual,33.33,399.99,Expired,Yoga,Rawalpindi
M0275,Female,58,55+,2022-03-14,Standard,49.99,49.99,Active,Spin,Lahore
M0276,Female,44,35-44,2024-04-07,Basic,29.99,29.99,Cancelled,CrossFit,Multan
M0277,Male,20,18-24,2022-03-08,Standard,49.99,49.99,Active,HIIT,Rawalpindi
M0278,Male,40,35-44,2024-02-09,Standard,49.99,49.99,Cancelled,CrossFit,Multan
M0279,Male,33,25-34,2023-03-29,Basic,29.99,29.99,Expired,Pilates,Lahore
M0280,Other,29,25-34,2022-02-24,Premium,79.99,79.99,Active,Strength Training,Multan
M0281,Female,22,18-24,2022-08-25,Basic,29.99,29.99,Cancelled,CrossFit,Rawalpindi
M0282,Male,23,18-24,2022-11-17,Premium,79.99,79.99,Active,CrossFit,Lahore
M0283,Male,51,45-54,2024-10-09,Premium,79.99,79.99,Expired,Cardio,Lahore
M0284,Female,19,18-24,2022-04-24,Standard,49.99,49.99,Active,Yoga,Lahore
M0285,Female,21,18-24,2024-04-14,Standard,49.99,49.99,Active,Pilates,Islamabad
M0286,Male,54,45-54,2023-02-10,Standard,49.99,49.99,Cancelled,Cardio,Lahore
M0287,Female,47,45-54,2022-02-11,Standard,49.99,49.99,Expired,Pilates,Multan
M0288,Male,31,25-34,2022-05-14,Basic,29.99,29.99,Active,Spin,Islamabad
M0289,Female,31,25-34,2023-08-01,Basic,29.99,29.99,Active,CrossFit,Karachi
M0290,Male,48,45-54,2024-03-03,Standard,49.99,49.99,Active,Pilates,Multan
M0291,Female,58,55+,2022-08-26,Basic,29.99,29.99,Active,Spin,Faisalabad
M0292,Male,42,35-44,2023-04-27,Basic,29.99,29.99,Active,Spin,Rawalpindi
M0293,Female,30,25-34,2024-11-01,Annual,33.33,399.99,Active,Cardio,Karachi
M0294,Male,46,45-54,2024-09-15,Basic,29.99,29.99,Expired,HIIT,Rawalpindi
M0295,Male,36,35-44,2023-10-25,Basic,29.99,29.99,Active,Yoga,Karachi
M0296,Other,32,25-34,2023-01-17,Annual,33.33,399.99,Active,Strength Training,Lahore
M0297,Female,24,18-24,2022-05-29,Basic,29.99,29.99,Active,Cardio,Lahore
M0298,Female,46,45-54,2024-02-24,Basic,29.99,29.99,Active,Cardio,Multan
M0299,Male,52,45-54,2024-12-22,Premium,79.99,79.99,Active,Cardio,Multan
M0300,Male,19,18-24,2023-03-31,Premium,79.99,79.99,Expired,Spin,Multan
