CheckInID,MemberID,CheckInDate,CheckInHour,ClassAttended,DurationMinutes,DayOfWeek,Month,TimeSlot
CI000025,M0002,2025-07-04,16,HIIT,46,Friday,2025-07,Afternoon
CI000026,M0002,2025-07-24,9,Pilates,72,Thursday,2025-07,Early Morning
CI000027,M0002,2025-06-18,19,Gym Floor,37,Wednesday,2025-06,Evening
CI000028,M0002,2025-04-04,18,Spin,33,Friday,2025-04,Evening
CI000029,M0003,2025-08-12,7,Spin,51,Tuesday,2025-08,Early Morning
CI000030,M0003,2025-04-30,16,Cardio,58,Wednesday,2025-04,Afternoon
CI000031,M0003,2025-05-04,19,Yoga,43,Sunday,2025-05,Evening
CI000032,M0003,2025-05-18,19,Gym Floor,38,Sunday,2025-05,Evening
CI000033,M0004,2025-05-17,12,Gym Floor,38,Saturday,2025-05,Morning
CI000034,M0004,2025-05-20,16,Gym Floor,66,Tuesday,2025-05,Afternoon
CI000035,M0004,2025-04-01,11,Gym Floor,50,Tuesday,2025-04,Morning
CI000036,M0004,2025-07-24,8,Zumba,38,Thursday,2025-07,Early Morning
CI000037,M0004,2025-08-01,8,Strength Training,48,Friday,2025-08,Early Morning
CI000038,M0004,2025-06-17,19,Spin,52,Tuesday,2025-06,Evening
CI000039,M0004,2025-04-30,16,Gym Floor,97,Wednesday,2025-04,Afternoon
CI000040,M0004,2025-05-17,16,Gym Floor,57,Saturday,2025-05,Afternoon
CI000041,M0004,2025-05-06,8,Yoga,84,Tuesday,2025-05,Early Morning
CI000042,M0004,2025-04-27,17,Gym Floor,58,Sunday,2025-04,Evening
CI000043,M0004,2025-07-13,19,Gym Floor,64,Sunday,2025-07,Evening
CI000044,M0004,2025-03-10,7,Gym Floor,58,Monday,2025-03,Early Morning
CI000045,M0004,2025-07-27,11,HIIT,56,Sunday,2025-07,Morning
CI000046,M0004,2025-04-20,17,Gym Floor,58,Sunday,2025-04,Evening
CI000047,M0004,2025-04-10,16,Gym Floor,39,Thursday,2025-04,Afternoon
CI000048,M0004,2025-07-08,10,Spin,66,Tuesday,2025-07,Morning
CI000049,M0004,2025-03-15,8,CrossFit,35,Saturday,2025-03,Early Morning
CI000050,M0004,2025-05-13,18,Spin,75,Tuesday,2025-05,Evening
CI000051,M0005,2025-04-10,7,CrossFit,27,Thursday,2025-04,Early Morning
CI000052,M0005,2025-04-26,6,Pilates,59,Saturday,2025-04,Early Morning
CI000053,M0005,2025-07-15,10,HIIT,60,Tuesday,2025-07,Morning
CI000054,M0005,2025-08-30,9,Yoga,84,Saturday,2025-08,Early Morning
CI000055,M0005,2025-03-18,18,Spin,35,Tuesday,2025-03,Evening
CI000056,M0005,2025-08-24,7,Strength Training,28,Sunday,2025-08,Early Morning
CI000057,M0005,2025-07-26,17,Gym Floor,52,Saturday,2025-07,Evening
CI000058,M0005,2025-08-02,16,Strength Training,48,Saturday,2025-08,Afternoon
CI000059,M0005,2025-05-29,19,HIIT,68,Thursday,2025-05,Evening
CI000060,M0005,2025-08-28,8,Gym Floor,29,Thursday,2025-08,Early Morning
CI000061,M0005,2025-03-19,17,Gym Floor,45,Wednesday,2025-03,Evening
CI000062,M0005,2025-06-15,18,Gym Floor,74,Sunday,2025-06,Evening
CI000063,M0005,2025-04-21,18,Gym Floor,65,Monday,2025-04,Evening
CI000064,M0005,2025-07-30,19,Yoga,20,Wednesday,2025-07,Evening
CI000065,M0005,2025-03-25,11,Gym Floor,84,Tuesday,2025-03,Morning
CI000066,M0005,2025-05-31,17,Zumba,49,Saturday,2025-05,Evening
CI000067,M0005,2025-05-17,17,Zumba,46,Saturday,2025-05,Evening
CI000068,M0005,2025-05-02,7,HIIT,54,Friday,2025-05,Early Morning
CI000069,M0005,2025-03-02,12,Cardio,55,Sunday,2025-03,Morning
CI000070,M0005,2025-05-17,8,HIIT,64,Saturday,2025-05,Early Morning
CI000071,M0005,2025-07-27,8,HIIT,54,Sunday,2025-07,Early Morning
CI000072,M0005,2025-03-23,11,HIIT,53,Sunday,2025-03,Morning
CI000073,M0005,2025-05-23,19,Gym Floor,89,Friday,2025-05,Evening
CI000074,M0005,2025-06-08,11,Cardio,53,Sunday,2025-06,Morning
CI000075,M0005,2025-07-12,16,HIIT,73,Saturday,2025-07,Afternoon
CI000076,M0005,2025-06-25,11,CrossFit,45,Wednesday,2025-06,Morning
CI000077,M0005,2025-03-19,10,Gym Floor,56,Wednesday,2025-03,Morning
CI000078,M0005,2025-05-08,8,HIIT,52,Thursday,2025-05,Early Morning
CI000079,M0005,2025-05-08,18,Zumba,47,Thursday,2025-05,Evening
CI000080,M0005,2025-08-01,6,Strength Training,41,Friday,2025-08,Early Morning
CI000081,M0005,2025-08-13,19,Gym Floor,65,Wednesday,2025-08,Evening
CI000082,M0005,2025-03-14,18,Zumba,53,Friday,2025-03,Evening
CI000083,M0005,2025-04-03,6,Gym Floor,48,Thursday,2025-04,Early Morning
CI000084,M0005,2025-06-23,16,HIIT,42,Monday,2025-06,Afternoon
CI000085,M0005,2025-07-19,18,Gym Floor,58,Saturday,2025-07,Evening
CI000086,M0005,2025-03-19,20,Gym Floor,71,Wednesday,2025-03,Night
CI000087,M0005,2025-06-06,8,Strength Training,79,Friday,2025-06,Early Morning
CI000088,M0005,2025-05-12,11,Cardio,84,Monday,2025-05,Morning
CI000089,M0005,2025-04-22,18,Gym Floor,70,Tuesday,2025-04,Evening
CI000090,M0005,2025-06-14,12,Gym Floor,41,Saturday,2025-06,Morning
CI000091,M0005,2025-08-29,18,Gym Floor,50,Friday,2025-08,Evening
CI000092,M0005,2025-07-15,9,Gym Floor,70,Tuesday,2025-07,Early Morning
CI000093,M0005,2025-04-13,9,Gym Floor,44,Sunday,2025-04,Early Morning
CI000094,M0005,2025-04-20,7,Gym Floor,58,Sunday,2025-04,Early Morning
CI000095,M0005,2025-05-09,17,CrossFit,81,Friday,2025-05,Evening
CI000096,M0005,2025-04-26,12,Gym Floor,52,Saturday,2025-04,Morning
CI000097,M0005,2025-04-11,8,Cardio,57,Friday,2025-04,Early Morning
CI000098,M0005,2025-03-25,7,Cardio,54,Tuesday,2025-03,Early Morning
CI000099,M0005,2025-07-04,11,Gym Floor,67,Friday,2025-07,Morning
CI000100,M0006,2025-03-18,7,Cardio,56,Tuesday,2025-03,Early Morning
CI000101,M0007,2025-08-26,17,Gym Floor,32,Tuesday,2025-08,Evening
CI000102,M0007,2025-07-03,19,Zumba,34,Thursday,2025-07,Evening
CI000103,M0007,2025-08-27,21,Gym Floor,67,Wednesday,2025-08,Night
CI000104,M0007,2025-03-13,18,Strength Training,104,Thursday,2025-03,Evening
CI000105,M0007,2025-06-02,16,Gym Floor,37,Monday,2025-06,Afternoon
CI000106,M0007,2025-03-24,11,HIIT,34,Monday,2025-03,Morning
CI000107,M0007,2025-04-26,17,Pilates,41,Saturday,2025-04,Evening
CI000108,M0008,2025-07-01,7,Gym Floor,32,Tuesday,2025-07,Early Morning
CI000109,M0008,2025-07-08,6,Gym Floor,79,Tuesday,2025-07,Early Morning
CI000110,M0008,2025-03-02,6,HIIT,25,Sunday,2025-03,Early Morning
CI000111,M0008,2025-05-27,10,Pilates,45,Tuesday,2025-05,Morning
CI000112,M0008,2025-07-19,17,Gym Floor,80,Saturday,2025-07,Evening
CI000113,M0008,2025-05-16,9,Zumba,68,Friday,2025-05,Early Morning
CI000114,M0008,2025-07-21,8,Gym Floor,75,Monday,2025-07,Early Morning
CI000115,M0008,2025-05-04,8,Gym Floor,25,Sunday,2025-05,Early Morning
CI000116,M0008,2025-08-15,8,Gym Floor,49,Friday,2025-08,Early Morning
CI000117,M0008,2025-05-07,19,Gym Floor,27,Wednesday,2025-05,Evening
CI000118,M0008,2025-06-05,7,Pilates,38,Thursday,2025-06,Early Morning
CI000119,M0008,2025-08-29,17,HIIT,58,Friday,2025-08,Evening
CI000120,M0009,2025-05-14,20,Yoga,62,Wednesday,2025-05,Night
CI000121,M0009,2025-05-10,18,Gym Floor,66,Saturday,2025-05,Evening
CI000122,M0009,2025-03-05,11,HIIT,69,Wednesday,2025-03,Morning
CI000123,M0009,2025-07-18,20,Gym Floor,52,Friday,2025-07,Night
CI000124,M0009,2025-06-06,19,Spin,48,Friday,2025-06,Evening
CI000125,M0009,2025-04-22,8,Gym Floor,42,Tuesday,2025-04,Early Morning
CI000126,M0009,2025-06-13,17,Zumba,35,Friday,2025-06,Evening
CI000127,M0009,2025-08-20,8,CrossFit,52,Wednesday,2025-08,Early Morning
CI000128,M0009,2025-03-01,7,CrossFit,49,Saturday,2025-03,Early Morning
CI000129,M0009,2025-05-30,19,Gym Floor,74,Friday,2025-05,Evening
CI000130,M0009,2025-07-10,18,Zumba,44,Thursday,2025-07,Evening
CI000131,M0009,2025-07-08,20,Pilates,53,Tuesday,2025-07,Night
CI000132,M0009,2025-08-15,9,Zumba,48,Friday,2025-08,Early Morning
CI000133,M0009,2025-08-24,18,Gym Floor,61,Sunday,2025-08,Evening
CI000134,M0009,2025-08-05,20,Gym Floor,60,Tuesday,2025-08,Night
CI000135,M0009,2025-05-25,19,Gym Floor,37,Sunday,2025-05,Evening
CI000136,M0009,2025-04-25,18,Gym Floor,51,Friday,2025-04,Evening
CI000137,M0009,2025-05-26,7,Zumba,55,Monday,2025-05,Early Morning
CI000138,M0009,2025-07-23,16,Gym Floor,63,Wednesday,2025-07,Afternoon
CI000139,M0009,2025-08-05,17,Cardio,72,Tuesday,2025-08,Evening
CI000140,M0009,2025-06-17,8,Spin,42,Tuesday,2025-06,Early Morning
CI000141,M0009,2025-05-07,10,Gym Floor,54,Wednesday,2025-05,Morning
CI000142,M0009,2025-04-10,7,Gym Floor,51,Thursday,2025-04,Early Morning
CI000143,M0009,2025-07-16,8,CrossFit,37,Wednesday,2025-07,Early Morning
CI000144,M0009,2025-05-24,18,Yoga,72,Saturday,2025-05,Evening
CI000145,M0010,2025-04-27,7,Spin,53,Sunday,2025-04,Early Morning
CI000146,M0010,2025-07-25,18,Pilates,68,Friday,2025-07,Evening
CI000147,M0010,2025-06-05,17,Gym Floor,71,Thursday,2025-06,Evening
CI000148,M0010,2025-05-10,10,Gym Floor,55,Saturday,2025-05,Morning
CI000149,M0011,2025-04-25,20,Pilates,59,Friday,2025-04,Night
CI000150,M0011,2025-04-26,9,Yoga,35,Saturday,2025-04,Early Morning
CI000151,M0011,2025-07-09,19,CrossFit,51,Wednesday,2025-07,Evening
CI000152,M0011,2025-04-24,6,HIIT,33,Thursday,2025-04,Early Morning
CI000153,M0011,2025-08-31,20,Gym Floor,69,Sunday,2025-08,Night
CI000154,M0011,2025-05-26,18,Gym Floor,21,Monday,2025-05,Evening
CI000155,M0011,2025-03-19,20,Zumba,65,Wednesday,2025-03,Night
CI000156,M0011,2025-05-12,6,Zumba,57,Monday,2025-05,Early Morning
CI000157,M0011,2025-05-01,18,Gym Floor,90,Thursday,2025-05,Evening
CI000158,M0011,2025-04-05,7,Yoga,96,Saturday,2025-04,Early Morning
CI000159,M0011,2025-08-05,16,Gym Floor,59,Tuesday,2025-08,Afternoon
CI000160,M0011,2025-03-14,9,Strength Training,27,Friday,2025-03,Early Morning
CI000161,M0011,2025-03-12,7,Gym Floor,58,Wednesday,2025-03,Early Morning
CI000162,M0011,2025-03-27,10,Gym Floor,20,Thursday,2025-03,Morning
CI000163,M0011,2025-05-04,8,Gym Floor,44,Sunday,2025-05,Early Morning
CI000164,M0011,2025-06-04,17,HIIT,47,Wednesday,2025-06,Evening
CI000165,M0011,2025-06-20,20,Gym Floor,74,Friday,2025-06,Night
CI000166,M0011,2025-04-23,20,Gym Floor,58,Wednesday,2025-04,Night
CI000167,M0011,2025-08-11,7,Zumba,84,Monday,2025-08,Early Morning
CI000168,M0011,2025-08-26,20,Cardio,65,Tuesday,2025-08,Night
CI000169,M0012,2025-03-04,19,Cardio,60,Tuesday,2025-03,Evening
CI000170,M0012,2025-07-28,8,Spin,20,Monday,2025-07,Early Morning
CI000171,M0012,2025-08-13,7,Gym Floor,62,Wednesday,2025-08,Early Morning
CI000172,M0012,2025-06-03,16,HIIT,44,Tuesday,2025-06,Afternoon
CI000173,M0012,2025-04-11,9,Gym Floor,31,Friday,2025-04,Early Morning
CI000174,M0012,2025-06-16,21,Pilates,20,Monday,2025-06,Night
CI000175,M0012,2025-04-10,18,Gym Floor,59,Thursday,2025-04,Evening
CI000176,M0012,2025-04-14,18,Cardio,44,Monday,2025-04,Evening
CI000177,M0012,2025-03-15,6,Gym Floor,28,Saturday,2025-03,Early Morning
CI000178,M0012,2025-05-25,20,Cardio,51,Sunday,2025-05,Night
CI000179,M0012,2025-06-01,10,Gym Floor,36,Sunday,2025-06,Morning
CI000180,M0012,2025-05-27,8,Spin,57,Tuesday,2025-05,Early Morning
CI000181,M0012,2025-07-15,8,CrossFit,29,Tuesday,2025-07,Early Morning
CI000182,M0012,2025-06-09,6,Zumba,20,Monday,2025-06,Early Morning
CI000183,M0012,2025-04-25,16,Gym Floor,56,Friday,2025-04,Afternoon
CI000184,M0012,2025-08-02,17,Yoga,56,Saturday,2025-08,Evening
CI000185,M0012,2025-06-07,17,Gym Floor,42,Saturday,2025-06,Evening
CI000186,M0012,2025-05-31,18,Gym Floor,67,Saturday,2025-05,Evening
CI000187,M0012,2025-06-19,7,Gym Floor,75,Thursday,2025-06,Early Morning
CI000188,M0012,2025-06-05,11,CrossFit,99,Thursday,2025-06,Morning
CI000189,M0012,2025-08-20,6,HIIT,71,Wednesday,2025-08,Early Morning
CI000190,M0012,2025-08-31,17,Gym Floor,58,Sunday,2025-08,Evening
CI000191,M0012,2025-05-06,6,Zumba,62,Tuesday,2025-05,Early Morning
CI000192,M0012,2025-08-07,17,CrossFit,51,Thursday,2025-08,Evening
CI000193,M0012,2025-07-31,17,Spin,62,Thursday,2025-07,Evening
CI000194,M0012,2025-05-30,17,CrossFit,67,Friday,2025-05,Evening
CI000195,M0012,2025-05-23,7,Gym Floor,59,Friday,2025-05,Early Morning
CI000196,M0012,2025-04-21,8,Gym Floor,76,Monday,2025-04,Early Morning
CI000197,M0012,2025-07-11,6,Gym Floor,52,Friday,2025-07,Early Morning
CI000198,M0012,2025-05-03,17,CrossFit,40,Saturday,2025-05,Evening
CI000199,M0012,2025-04-13,18,Pilates,48,Sunday,2025-04,Evening
CI000200,M0012,2025-03-02,16,Strength Training,102,Sunday,2025-03,Afternoon
CI000201,M0012,2025-05-08,17,Gym Floor,62,Thursday,2025-05,Evening
CI000202,M0012,2025-05-30,9,Gym Floor,74,Friday,2025-05,Early Morning
CI000203,M0012,2025-08-01,8,Spin,49,Friday,2025-08,Early Morning
CI000204,M0012,2025-04-22,19,Gym Floor,37,Tuesday,2025-04,Evening
CI000205,M0012,2025-06-03,17,Gym Floor,50,Tuesday,2025-06,Evening
CI000206,M0012,2025-04-08,21,CrossFit,59,Tuesday,2025-04,Night
CI000207,M0012,2025-03-29,20,HIIT,23,Saturday,2025-03,Night
CI000208,M0012,2025-05-05,6,Gym Floor,36,Monday,2025-05,Early Morning
CI000209,M0012,2025-05-21,19,Strength Training,52,Wednesday,2025-05,Evening
CI000210,M0013,2025-04-20,7,Spin,70,Sunday,2025-04,Early Morning
CI000211,M0013,2025-05-08,19,Pilates,58,Thursday,2025-05,Evening
CI000212,M0014,2025-08-11,16,Pilates,65,Monday,2025-08,Afternoon
CI000213,M0014,2025-08-24,21,Gym Floor,65,Sunday,2025-08,Night
CI000214,M0014,2025-05-29,18,CrossFit,68,Thursday,2025-05,Evening
CI000215,M0014,2025-03-05,7,Gym Floor,56,Wednesday,2025-03,Early Morning
CI000216,M0014,2025-08-27,18,Gym Floor,46,Wednesday,2025-08,Evening
CI000217,M0014,2025-04-24,16,Gym Floor,55,Thursday,2025-04,Afternoon
CI000218,M0014,2025-05-01,12,Gym Floor,86,Thursday,2025-05,Morning
CI000219,M0014,2025-07-17,10,Zumba,51,Thursday,2025-07,Morning
CI000220,M0014,2025-06-01,17,HIIT,76,Sunday,2025-06,Evening
CI000221,M0014,2025-07-16,17,Cardio,47,Wednesday,2025-07,Evening
CI000222,M0014,2025-05-10,17,Gym Floor,32,Saturday,2025-05,Evening
CI000223,M0014,2025-05-19,16,Zumba,45,Monday,2025-05,Afternoon
CI000224,M0014,2025-05-12,9,Gym Floor,72,Monday,2025-05,Early Morning
CI000225,M0014,2025-05-29,12,Cardio,83,Thursday,2025-05,Morning
CI000226,M0014,2025-07-11,19,Gym Floor,64,Friday,2025-07,Evening
CI000227,M0014,2025-06-13,7,Yoga,66,Friday,2025-06,Early Morning
CI000228,M0014,2025-05-26,17,Pilates,79,Monday,2025-05,Evening
CI000229,M0014,2025-07-03,19,Gym Floor,78,Thursday,2025-07,Evening
CI000230,M0014,2025-05-21,19,Spin,64,Wednesday,2025-05,Evening
CI000231,M0014,2025-07-26,19,Yoga,54,Saturday,2025-07,Evening
CI000232,M0014,2025-06-25,6,Gym Floor,48,Wednesday,2025-06,Early Morning
CI000233,M0014,2025-03-03,18,Pilates,46,Monday,2025-03,Evening
CI000234,M0014,2025-05-16,8,Strength Training,57,Friday,2025-05,Early Morning
CI000235,M0015,2025-03-28,8,Strength Training,32,Friday,2025-03,Early Morning
CI000236,M0015,2025-07-22,17,Yoga,67,Tuesday,2025-07,Evening
CI000237,M0015,2025-05-18,16,Gym Floor,52,Sunday,2025-05,Afternoon
CI000238,M0015,2025-03-07,19,CrossFit,77,Friday,2025-03,Evening
CI000239,M0015,2025-05-18,8,Gym Floor,59,Sunday,2025-05,Early Morning
CI000240,M0015,2025-06-25,20,Gym Floor,28,Wednesday,2025-06,Night
CI000241,M0015,2025-03-01,16,Pilates,51,Saturday,2025-03,Afternoon
CI000242,M0017,2025-07-06,12,Spin,38,Sunday,2025-07,Morning
CI000243,M0017,2025-06-24,19,Cardio,79,Tuesday,2025-06,Evening
CI000244,M0017,2025-03-22,8,Cardio,32,Saturday,2025-03,Early Morning
CI000245,M0017,2025-06-11,6,HIIT,72,Wednesday,2025-06,Early Morning
CI000246,M0017,2025-08-06,7,Yoga,53,Wednesday,2025-08,Early Morning
CI000247,M0017,2025-06-09,8,Pilates,35,Monday,2025-06,Early Morning
CI000248,M0017,2025-03-02,7,Gym Floor,69,Sunday,2025-03,Early Morning
CI000249,M0017,2025-05-21,11,Gym Floor,23,Wednesday,2025-05,Morning
CI000250,M0017,2025-06-07,17,CrossFit,20,Saturday,2025-06,Evening
CI000251,M0018,2025-08-18,7,Gym Floor,39,Monday,2025-08,Early Morning
CI000252,M0018,2025-06-08,19,Spin,70,Sunday,2025-06,Evening
CI000253,M0018,2025-07-03,7,Pilates,81,Thursday,2025-07,Early Morning
CI000254,M0018,2025-08-24,19,Pilates,29,Sunday,2025-08,Evening
CI000255,M0018,2025-07-09,11,Gym Floor,50,Wednesday,2025-07,Morning
CI000256,M0018,2025-04-27,6,Gym Floor,62,Sunday,2025-04,Early Morning
CI000257,M0018,2025-06-27,18,Gym Floor,55,Friday,2025-06,Evening
CI000258,M0018,2025-07-11,7,Gym Floor,70,Friday,2025-07,Early Morning
CI000259,M0018,2025-07-15,6,Gym Floor,28,Tuesday,2025-07,Early Morning
CI000260,M0018,2025-03-29,19,Pilates,57,Saturday,2025-03,Evening
CI000261,M0018,2025-07-15,10,Gym Floor,33,Tuesday,2025-07,Morning
CI000262,M0018,2025-07-19,19,Zumba,87,Saturday,2025-07,Evening
CI000263,M0018,2025-07-15,6,Cardio,58,Tuesday,2025-07,Early Morning
CI000264,M0018,2025-07-08,8,Spin,37,Tuesday,2025-07,Early Morning
CI000265,M0019,2025-04-13,17,Gym Floor,78,Sunday,2025-04,Evening
CI000266,M0019,2025-03-30,6,Zumba,42,Sunday,2025-03,Early Morning
CI000267,M0019,2025-05-06,21,Pilates,47,Tuesday,2025-05,Night
CI000268,M0019,2025-04-18,19,HIIT,71,Friday,2025-04,Evening
CI000269,M0019,2025-03-11,17,Spin,49,Tuesday,2025-03,Evening
CI000270,M0019,2025-04-13,19,HIIT,56,Sunday,2025-04,Evening
CI000271,M0019,2025-07-03,9,Yoga,71,Thursday,2025-07,Early Morning
CI000272,M0019,2025-05-14,18,Zumba,77,Wednesday,2025-05,Evening
CI000273,M0019,2025-08-02,6,Gym Floor,75,Saturday,2025-08,Early Morning
CI000274,M0019,2025-08-17,18,Gym Floor,20,Sunday,2025-08,Evening
CI000275,M0019,2025-04-02,12,Gym Floor,67,Wednesday,2025-04,Morning
CI000276,M0019,2025-03-26,7,HIIT,44,Wednesday,2025-03,Early Morning
CI000277,M0019,2025-06-25,19,Pilates,43,Wednesday,2025-06,Evening
CI000278,M0019,2025-03-18,8,Gym Floor,56,Tuesday,2025-03,Early Morning
CI000279,M0020,2025-04-08,16,Yoga,69,Tuesday,2025-04,Afternoon
CI000280,M0020,2025-04-15,19,HIIT,57,Tuesday,2025-04,Evening
CI000281,M0020,2025-08-02,18,Gym Floor,67,Saturday,2025-08,Evening
CI000282,M0020,2025-03-06,16,Gym Floor,45,Thursday,2025-03,Afternoon
CI000283,M0020,2025-07-20,17,Zumba,31,Sunday,2025-07,Evening
CI000284,M0020,2025-08-30,8,HIIT,51,Saturday,2025-08,Early Morning
CI000285,M0020,2025-07-31,20,Gym Floor,65,Thursday,2025-07,Night
CI000286,M0020,2025-06-28,19,CrossFit,20,Saturday,2025-06,Evening
CI000287,M0020,2025-07-25,7,Gym Floor,63,Friday,2025-07,Early Morning
CI000288,M0020,2025-07-17,9,Yoga,36,Thursday,2025-07,Early Morning
CI000289,M0020,2025-05-30,6,Cardio,50,Friday,2025-05,Early Morning
CI000290,M0020,2025-08-20,11,Pilates,44,Wednesday,2025-08,Morning
CI000291,M0020,2025-06-08,21,Gym Floor,62,Sunday,2025-06,Night
CI000292,M0020,2025-07-21,11,Strength Training,73,Monday,2025-07,Morning
CI000293,M0020,2025-05-13,7,Gym Floor,35,Tuesday,2025-05,Early Morning
CI000294,M0020,2025-05-05,18,Gym Floor,38,Monday,2025-05,Evening
CI000295,M0020,2025-03-26,21,Gym Floor,60,Wednesday,2025-03,Night
CI000296,M0020,2025-07-24,10,Gym Floor,39,Thursday,2025-07,Morning
CI000297,M0020,2025-05-04,11,Gym Floor,80,Sunday,2025-05,Morning
CI000298,M0020,2025-06-08,7,Gym Floor,46,Sunday,2025-06,Early Morning
CI000299,M0021,2025-08-15,10,Zumba,44,Friday,2025-08,Morning
CI000300,M0021,2025-08-05,7,Gym Floor,65,Tuesday,2025-08,Early Morning
CI000301,M0021,2025-05-08,6,CrossFit,59,Thursday,2025-05,Early Morning
CI000302,M0021,2025-03-31,16,CrossFit,54,Monday,2025-03,Afternoon
CI000303,M0021,2025-06-13,6,Spin,20,Friday,2025-06,Early Morning
CI000304,M0021,2025-04-30,6,Gym Floor,93,Wednesday,2025-04,Early Morning
CI000305,M0021,2025-07-08,18,Yoga,62,Tuesday,2025-07,Evening
CI000306,M0021,2025-04-20,19,CrossFit,37,Sunday,2025-04,Evening
CI000307,M0021,2025-07-31,7,Gym Floor,63,Thursday,2025-07,Early Morning
CI000308,M0021,2025-06-11,8,Gym Floor,81,Wednesday,2025-06,Early Morning
CI000309,M0022,2025-07-02,21,CrossFit,66,Wednesday,2025-07,Night
CI000310,M0022,2025-08-25,18,Gym Floor,62,Monday,2025-08,Evening
CI000311,M0022,2025-06-24,11,Gym Floor,50,Tuesday,2025-06,Morning
CI000312,M0022,2025-04-16,12,Zumba,47,Wednesday,2025-04,Morning
CI000313,M0022,2025-07-06,17,Gym Floor,60,Sunday,2025-07,Evening
CI000314,M0022,2025-05-02,9,HIIT,65,Friday,2025-05,Early Morning
CI000315,M0022,2025-03-24,19,Cardio,37,Monday,2025-03,Evening
CI000316,M0022,2025-03-16,12,Spin,59,Sunday,2025-03,Morning
CI000317,M0022,2025-07-29,19,Gym Floor,20,Tuesday,2025-07,Evening
CI000318,M0022,2025-07-20,16,Gym Floor,47,Sunday,2025-07,Afternoon
CI000319,M0022,2025-08-28,16,Zumba,47,Thursday,2025-08,Afternoon
CI000320,M0022,2025-03-18,17,Gym Floor,52,Tuesday,2025-03,Evening
CI000321,M0022,2025-08-29,17,Strength Training,66,Friday,2025-08,Evening
CI000322,M0022,2025-07-31,7,Spin,98,Thursday,2025-07,Early Morning
CI000323,M0023,2025-05-30,18,Pilates,63,Friday,2025-05,Evening
CI000324,M0023,2025-08-15,7,Spin,20,Friday,2025-08,Early Morning
CI000325,M0023,2025-08-25,9,CrossFit,50,Monday,2025-08,Early Morning
CI000326,M0023,2025-07-26,18,Spin,26,Saturday,2025-07,Evening
CI000327,M0023,2025-04-30,8,Zumba,68,Wednesday,2025-04,Early Morning
CI000328,M0023,2025-04-14,18,HIIT,20,Monday,2025-04,Evening
CI000329,M0023,2025-06-29,8,Gym Floor,78,Sunday,2025-06,Early Morning
CI000330,M0023,2025-04-28,19,Yoga,39,Monday,2025-04,Evening
CI000331,M0023,2025-07-20,16,CrossFit,58,Sunday,2025-07,Afternoon
CI000332,M0023,2025-05-30,10,Gym Floor,37,Friday,2025-05,Morning
CI000333,M0024,2025-06-18,8,Gym Floor,70,Wednesday,2025-06,Early Morning
CI000334,M0024,2025-08-05,7,Zumba,33,Tuesday,2025-08,Early Morning
CI000335,M0024,2025-03-11,19,Gym Floor,20,Tuesday,2025-03,Evening
CI000336,M0024,2025-07-18,17,Gym Floor,56,Friday,2025-07,Evening
CI000337,M0024,2025-08-12,18,HIIT,72,Tuesday,2025-08,Evening
CI000338,M0024,2025-07-10,18,Strength Training,27,Thursday,2025-07,Evening
CI000339,M0024,2025-05-29,16,HIIT,44,Thursday,2025-05,Afternoon
CI000340,M0024,2025-04-19,6,Yoga,63,Saturday,2025-04,Early Morning
CI000341,M0024,2025-07-17,17,Spin,55,Thursday,2025-07,Evening
