MemberID,Gender,Age,AgeGroup,JoinDate,MembershipPlan,MonthlyFee,PlanPrice,Status,PreferredClass,City,TenureMonths,IsActive
M0227,Male,29,25-34,2024-05-23,Standard,49.99,49.99,Expired,Spin,Lahore,15.3,0
M0228,Male,62,55+,2022-05-02,Standard,49.99,49.99,Active,Zumba,Faisalabad,40.0,1
M0229,Female,23,18-24,2023-11-26,Basic,29.99,29.99,Active,Pilates,Faisalabad,21.2,1
M0230,Male,27,25-34,2022-11-08,Annual,33.33,399.99,Active,Spin,Faisalabad,33.8,1
M0231,Female,38,35-44,2022-12-19,Premium,79.99,79.99,Active,Spin,Rawalpindi,32.4,1
M0232,Male,37,35-44,2024-03-15,Standard,49.99,49.99,Active,HIIT,Lahore,17.6,1
M0233,Male,51,45-54,2024-08-04,Standard,49.99,49.99,Active,HIIT,Karachi,12.9,1
M0234,Male,29,25-34,2024-07-20,Standard,49.99,49.99,Active,HIIT,Faisalabad,13.4,1
M0235,Female,53,45-54,2024-06-29,Basic,29.99,29.99,Expired,Zumba,Karachi,14.1,0
M0236,Female,54,45-54,2024-07-28,Standard,49.99,49.99,Active,Spin,Lahore,13.1,1
M0237,Male,31,25-34,2022-11-14,Basic,29.99,29.99,Active,Yoga,Rawalpindi,33.6,1
M0238,Female,42,35-44,2022-05-10,Basic,29.99,29.99,Expired,HIIT,Islamabad,39.8,0
M0239,Female,53,45-54,2022-09-18,Standard,49.99,49.99,Expired,Zumba,Islamabad,35.4,0
M0240,Male,27,25-34,2024-10-30,Basic,29.99,29.99,Active,Cardio,Multan,10.1,1
M0241,Male,18,18-24,2022-05-13,Basic,29.99,29.99,Expired,Pilates,Rawalpindi,39.7,0
M0242,Male,61,55+,2023-11-18,Premium,79.99,79.99,Active,Zumba,Multan,21.5,1
M0243,Male,31,25-34,2023-09-12,Standard,49.99,49.99,Active,Zumba,Faisalabad,23.7,1
M0244,Male,52,45-54,2024-11-09,Basic,29.99,29.99,Expired,Spin,Islamabad,9.7,0
M0245,Male,29,25-34,2024-04-16,Basic,29.99,29.99,Expired,Spin,Karachi,16.5,0
M0246,Male,56,55+,2022-05-06,Annual,33.33,399.99,Active,Zumba,Islamabad,39.9,1
M0247,Male,62,55+,2024-07-07,Premium,79.99,79.99,Active,HIIT,Karachi,13.8,1
M0248,Female,18,18-24,2024-06-10,Premium,79.99,79.99,Cancelled,Spin,Multan,14.7,0
M0249,Female,18,18-24,2023-06-01,Annual,33.33,399.99,Active,HIIT,Islamabad,27.0,1
M0250,Female,64,55+,2022-04-24,Basic,29.99,29.99,Cancelled,Cardio,Islamabad,40.3,0
M0251,Female,36,35-44,2022-12-11,Premium,79.99,79.99,Expired,Pilates,Faisalabad,32.7,0
M0252,Other,19,18-24,2024-12-28,Standard,49.99,49.99,Active,Pilates,Lahore,8.1,1
M0253,Female,48,45-54,2023-11-19,Premium,79.99,79.99,Active,Cardio,Karachi,21.4,1
M0254,Female,51,45-54,2023-05-09,Annual,33.33,399.99,Active,Yoga,Islamabad,27.8,1
M0255,Male,18,18-24,2024-04-01,Standard,49.99,49.99,Active,Zumba,Faisalabad,17.0,1
M0256,Male,49,45-54,2024-04-07,Standard,49.99,49.99,Expired,Cardio,Multan,16.8,0
M0257,Male,19,18-24,2024-05-16,Basic,29.99,29.99,Expired,Strength Training,Faisalabad,15.5,0
M0258,Male,46,45-54,2022-11-24,Standard,49.99,49.99,Active,Cardio,Faisalabad,33.2,1
M0259,Male,32,25-34,2022-10-31,Standard,49.99,49.99,Active,Zumba,Multan,34.0,1
M0260,Male,38,35-44,2023-05-13,Premium,79.99,79.99,Active,Zumba,Faisalabad,27.7,1
M0261,Male,32,25-34,2023-02-03,Basic,29.99,29.99,Cancelled,Spin,Multan,30.9,0
M0262,Male,63,55+,2024-02-26,Basic,29.99,29.99,Active,Zumba,Rawalpindi,18.2,1
M0263,Female,47,45-54,2022-10-18,Standard,49.99,49.99,Active,Yoga,Faisalabad,34.5,1
M0264,Female,24,18-24,2023-10-06,Premium,79.99,79.99,Active,HIIT,Faisalabad,22.9,1
M0265,Male,59,55+,2022-06-08,Premium,79.99,79.99,Active,CrossFit,Rawalpindi,38.8,1
