MemberID,Gender,Age,AgeGroup,JoinDate,MembershipPlan,MonthlyFee,PlanPrice,Status,PreferredClass,City,TenureMonths,IsActive,TotalVisits,AvgDuration,LastVisit,UniqueClasses
M0046,Male,32,25-34,2023-02-04,Basic,29.99,29.99,Cancelled,HIIT,Multan,30.9,0,0,0.0,,0
M0047,Female,39,35-44,2022-02-20,Standard,49.99,49.99,Active,Pilates,Lahore,42.3,1,28,56.1,2025-08-16,8
M0048,Female,54,45-54,2023-11-13,Premium,79.99,79.99,Active,Spin,Rawalpindi,21.6,1,39,54.8,2025-08-22,9
M0049,Male,23,18-24,2024-09-30,Annual,33.33,399.99,Active,Cardio,Multan,11.0,1,22,62.0,2025-08-29,9
M0050,Female,33,25-34,2022-02-16,Premium,79.99,79.99,Active,Cardio,Karachi,42.5,1,38,56.4,2025-08-27,9
M0051,Male,43,35-44,2023-10-19,Standard,49.99,49.99,Active,Spin,Multan,22.4,1,10,48.3,2025-08-04,4
M0052,Male,18,18-24,2024-03-01,Standard,49.99,49.99,Expired,Yoga,Karachi,18.0,0,9,53.0,2025-08-01,4
M0053,Female,18,18-24,2023-07-14,Basic,29.99,29.99,Cancelled,Zumba,Faisalabad,25.6,0,7,49.3,2025-08-31,4
M0054,Male,43,35-44,2024-02-29,Premium,79.99,79.99,Active,Spin,Multan,18.1,1,39,57.2,2025-08-29,9
M0055,Male,64,55+,2023-11-28,Standard,49.99,49.99,Active,Pilates,Multan,21.1,1,28,61.0,2025-08-26,7
M0056,Male,43,35-44,2024-10-08,Basic,29.99,29.99,Active,Zumba,Rawalpindi,10.8,1,16,57.4,2025-08-08,8
M0057,Female,22,18-24,2022-12-23,Standard,49.99,49.99,Expired,Cardio,Karachi,32.3,0,6,52.2,2025-07-10,4
M0058,Female,22,18-24,2024-02-01,Annual,33.33,399.99,Active,CrossFit,Karachi,19.0,1,39,51.3,2025-08-31,9
M0059,Female,37,35-44,2023-05-12,Annual,33.33,399.99,Active,HIIT,Islamabad,27.7,1,24,56.2,2025-08-30,8
M0060,Female,60,55+,2023-01-15,Basic,29.99,29.99,Cancelled,Strength Training,Lahore,31.5,0,5,36.6,2025-08-13,4
M0061,Male,48,45-54,2024-12-02,Basic,29.99,29.99,Active,Spin,Islamabad,9.0,1,14,55.4,2025-08-28,6
M0062,Male,25,25-34,2024-01-24,Premium,79.99,79.99,Active,HIIT,Karachi,19.3,1,21,51.1,2025-08-27,8
M0063,Female,21,18-24,2024-10-18,Premium,79.99,79.99,Active,HIIT,Faisalabad,10.4,1,15,61.4,2025-08-21,3
M0064,Female,38,35-44,2025-01-03,Annual,33.33,399.99,Active,Cardio,Karachi,7.9,1,46,53.7,2025-08-29,9
M0065,Male,52,45-54,2023-04-02,Standard,49.99,49.99,Expired,HIIT,Lahore,29.0,0,11,50.4,2025-08-28,6
M0066,Male,54,45-54,2022-04-06,Standard,49.99,49.99,Cancelled,Zumba,Faisalabad,40.9,0,7,51.6,2025-08-18,3
M0067,Female,34,25-34,2022-10-06,Premium,79.99,79.99,Active,Cardio,Lahore,34.9,1,25,54.3,2025-08-27,8
M0068,Female,29,25-34,2023-02-01,Annual,33.33,399.99,Active,Strength Training,Rawalpindi,31.0,1,38,53.8,2025-08-28,9
M0069,Male,36,35-44,2022-09-22,Standard,49.99,49.99,Cancelled,CrossFit,Faisalabad,35.3,0,2,56.0,2025-06-30,2
M0070,Female,38,35-44,2024-12-28,Basic,29.99,29.99,Active,Zumba,Lahore,8.1,1,10,56.6,2025-08-19,5
M0071,Other,56,55+,2024-11-28,Basic,29.99,29.99,Active,HIIT,Faisalabad,9.1,1,22,58.1,2025-08-19,8
M0072,Female,29,25-34,2024-01-03,Standard,49.99,49.99,Active,HIIT,Rawalpindi,19.9,1,10,49.1,2025-07-19,4
M0073,Male,30,25-34,2024-07-01,Basic,29.99,29.99,Active,Yoga,Karachi,14.0,1,10,58.8,2025-08-13,6
M0074,Male,54,45-54,2024-03-05,Premium,79.99,79.99,Active,CrossFit,Faisalabad,17.9,1,41,59.1,2025-08-30,9
M0075,Female,62,55+,2023-05-15,Basic,29.99,29.99,Cancelled,Pilates,Rawalpindi,27.6,0,1,50.0,2025-04-08,1
M0076,Female,27,25-34,2023-03-21,Standard,49.99,49.99,Expired,Zumba,Multan,29.4,0,10,53.7,2025-08-31,6
M0077,Male,37,35-44,2022-06-22,Basic,29.99,29.99,Active,Spin,Lahore,38.3,1,26,59.6,2025-08-27,9
M0078,Female,42,35-44,2024-10-21,Premium,79.99,79.99,Active,Pilates,Faisalabad,10.3,1,39,53.3,2025-08-15,7
M0079,Male,62,55+,2022-05-14,Premium,79.99,79.99,Cancelled,Spin,Multan,39.6,0,5,54.8,2025-08-14,3
M0080,Female,36,35-44,2022-07-22,Annual,33.33,399.99,Active,HIIT,Lahore,37.4,1,45,54.0,2025-08-29,9
M0081,Female,27,25-34,2023-10-18,Premium,79.99,79.99,Cancelled,CrossFit,Multan,22.5,0,2,39.0,2025-06-09,2
M0082,Female,45,45-54,2024-08-29,Basic,29.99,29.99,Active,CrossFit,Karachi,12.1,1,18,53.8,2025-08-22,7
M0083,Female,44,35-44,2023-06-24,Basic,29.99,29.99,Cancelled,Yoga,Lahore,26.3,0,1,44.0,2025-06-04,1
M0084,Male,46,45-54,2024-07-17,Standard,49.99,49.99,Expired,Strength Training,Faisalabad,13.5,0,5,47.8,2025-08-20,3
M0085,Female,64,55+,2023-01-25,Annual,33.33,399.99,Active,HIIT,Multan,31.2,1,37,55.0,2025-08-31,9
M0086,Male,18,18-24,2024-05-26,Basic,29.99,29.99,Active,Zumba,Lahore,15.2,1,16,58.2,2025-08-30,8
M0087,Female,44,35-44,2024-05-02,Premium,79.99,79.99,Active,Yoga,Karachi,16.0,1,26,52.6,2025-08-19,5
M0088,Female,23,18-24,2022-04-15,Standard,49.99,49.99,Active,Spin,Faisalabad,40.6,1,7,63.0,2025-07-09,4
M0089,Female,54,45-54,2024-02-10,Standard,49.99,49.99,Expired,Strength Training,Lahore,18.7,0,9,51.9,2025-08-15,5
M0090,Male,30,25-34,2023-04-02,Basic,29.99,29.99,Cancelled,Yoga,Lahore,29.0,0,1,55.0,2025-04-11,1
M0091,Male,25,25-34,2023-05-03,Standard,49.99,49.99,Active,HIIT,Karachi,28.0,1,19,53.6,2025-08-31,6
M0092,Female,29,25-34,2023-03-14,Premium,79.99,79.99,Active,Cardio,Faisalabad,29.6,1,19,52.2,2025-08-05,4
M0093,Male,64,55+,2024-09-16,Annual,33.33,399.99,Active,Spin,Faisalabad,11.5,1,40,54.2,2025-08-25,9
M0094,Male,51,45-54,2023-08-01,Premium,79.99,79.99,Cancelled,HIIT,Karachi,25.0,0,5,50.0,2025-08-18,3
M0095,Male,51,45-54,2024-03-08,Standard,49.99,49.99,Active,Pilates,Lahore,17.8,1,21,53.3,2025-08-25,8
M0096,Female,59,55+,2024-09-10,Annual,33.33,399.99,Active,Spin,Faisalabad,11.7,1,36,51.8,2025-08-28,9
M0097,Male,34,25-34,2024-06-18,Standard,49.99,49.99,Cancelled,CrossFit,Faisalabad,14.5,0,3,68.7,2025-08-23,2
M0098,Female,60,55+,2023-06-30,Standard,49.99,49.99,Active,Strength Training,Islamabad,26.1,1,20,56.3,2025-08-27,9
M0099,Male,48,45-54,2022-04-21,Basic,29.99,29.99,Active,CrossFit,Rawalpindi,40.4,1,8,54.1,2025-08-19,3
M0100,Male,49,45-54,2022-12-26,Premium,79.99,79.99,Active,Spin,Karachi,32.2,1,36,52.9,2025-08-24,9
M0101,Male,22,18-24,2022-03-02,Basic,29.99,29.99,Active,HIIT,Faisalabad,42.0,1,12,53.8,2025-08-29,4
M0102,Male,58,55+,2023-06-18,Basic,29.99,29.99,Active,Pilates,Karachi,26.5,1,26,50.2,2025-08-22,8
M0103,Male,39,35-44,2025-01-01,Basic,29.99,29.99,Active,Pilates,Islamabad,8.0,1,17,56.5,2025-08-30,6
M0104,Female,53,45-54,2024-04-10,Standard,49.99,49.99,Active,Yoga,Islamabad,16.7,1,24,56.9,2025-08-22,6
M0105,Female,31,25-34,2023-12-20,Standard,49.99,49.99,Cancelled,Zumba,Multan,20.4,0,0,0.0,,0
M0106,Female,24,18-24,2022-12-31,Basic,29.99,29.99,Active,Zumba,Multan,32.0,1,27,56.2,2025-08-25,7
M0107,Female,55,55+,2022-12-29,Standard,49.99,49.99,Active,Zumba,Lahore,32.1,1,28,56.6,2025-08-28,8
M0108,Male,34,25-34,2023-04-30,Basic,29.99,29.99,Expired,HIIT,Multan,28.1,0,6,54.5,2025-08-28,5
M0109,Female,42,35-44,2024-03-22,Basic,29.99,29.99,Active,Strength Training,Lahore,17.3,1,26,58.2,2025-08-25,8
M0110,Female,39,35-44,2022-04-19,Standard,49.99,49.99,Expired,CrossFit,Lahore,40.4,0,5,57.0,2025-08-20,4
M0111,Female,23,18-24,2024-01-18,Basic,29.99,29.99,Active,CrossFit,Karachi,19.4,1,9,53.1,2025-08-19,6
M0112,Male,50,45-54,2022-11-11,Annual,33.33,399.99,Active,Spin,Multan,33.7,1,41,59.6,2025-08-28,9
M0113,Male,47,45-54,2023-09-16,Basic,29.99,29.99,Active,Zumba,Lahore,23.5,1,11,50.0,2025-08-13,6
M0114,Other,54,45-54,2024-01-29,Basic,29.99,29.99,Active,Zumba,Multan,19.1,1,19,55.9,2025-08-20,7
M0115,Female,23,18-24,2023-04-13,Annual,33.33,399.99,Expired,Pilates,Multan,28.6,0,5,56.2,2025-07-30,3
M0116,Female,28,25-34,2024-08-04,Premium,79.99,79.99,Expired,Strength Training,Faisalabad,12.9,0,4,47.8,2025-08-10,4
M0117,Male,37,35-44,2022-11-22,Annual,33.33,399.99,Active,Yoga,Rawalpindi,33.3,1,17,54.2,2025-08-25,7
M0118,Female,55,55+,2023-07-13,Premium,79.99,79.99,Expired,Strength Training,Rawalpindi,25.7,0,7,56.0,2025-08-09,3
M0119,Female,27,25-34,2024-04-24,Standard,49.99,49.99,Active,HIIT,Rawalpindi,16.3,1,20,58.0,2025-08-24,6
M0120,Male,18,18-24,2024-06-16,Standard,49.99,49.99,Cancelled,Yoga,Lahore,14.5,0,0,0.0,,0
M0121,Male,52,45-54,2024-02-16,Standard,49.99,49.99,Active,Yoga,Faisalabad,18.5,1,16,60.5,2025-08-22,5
M0122,Female,28,25-34,2022-11-14,Premium,79.99,79.99,Active,Cardio,Islamabad,33.6,1,19,52.2,2025-08-09,7
M0123,Male,46,45-54,2023-05-28,Premium,79.99,79.99,Expired,Yoga,Faisalabad,27.2,0,1,20.0,2025-06-23,1
M0124,Female,54,45-54,2022-09-27,Premium,79.99,79.99,Cancelled,Strength Training,Multan,35.2,0,3,67.3,2025-08-12,2
M0125,Female,42,35-44,2023-07-28,Standard,49.99,49.99,Cancelled,CrossFit,Multan,25.2,0,3,51.7,2025-08-31,2
M0126,Male,40,35-44,2024-03-10,Standard,49.99,49.99,Active,Yoga,Lahore,17.7,1,16,58.0,2025-08-29,7
M0127,Male,31,25-34,2022-05-25,Annual,33.33,399.99,Active,CrossFit,Islamabad,39.3,1,16,56.9,2025-08-23,5
M0128,Female,24,18-24,2024-11-28,Basic,29.99,29.99,Cancelled,HIIT,Rawalpindi,9.1,0,4,54.8,2025-06-29,3
M0129,Female,47,45-54,2024-11-04,Annual,33.33,399.99,Active,Cardio,Faisalabad,9.9,1,46,54.8,2025-08-29,9
M0130,Female,44,35-44,2023-07-04,Premium,79.99,79.99,Expired,Pilates,Rawalpindi,26.0,0,1,63.0,2025-06-21,1
M0131,Male,27,25-34,2023-08-21,Premium,79.99,79.99,Active,Pilates,Faisalabad,24.4,1,42,51.3,2025-08-26,9
M0132,Female,32,25-34,2024-03-25,Premium,79.99,79.99,Active,Spin,Faisalabad,17.2,1,24,53.1,2025-08-28,8
M0133,Female,44,35-44,2022-02-16,Standard,49.99,49.99,Expired,Strength Training,Rawalpindi,42.5,0,0,0.0,,0
M0134,Female,28,25-34,2024-03-04,Basic,29.99,29.99,Active,CrossFit,Multan,17.9,1,16,61.2,2025-08-29,6
M0135,Male,60,55+,2023-12-13,Standard,49.99,49.99,Active,Spin,Multan,20.6,1,16,52.2,2025-08-28,7
M0136,Female,60,55+,2024-09-11,Basic,29.99,29.99,Expired,Cardio,Rawalpindi,11.7,0,9,61.1,2025-07-26,5
M0137,Male,45,45-54,2024-06-06,Basic,29.99,29.99,Expired,Yoga,Multan,14.8,0,10,51.9,2025-08-24,5
M0138,Female,39,35-44,2022-02-20,Premium,79.99,79.99,Cancelled,Yoga,Multan,42.3,0,3,46.7,2025-08-26,3
M0139,Female,57,55+,2023-02-24,Basic,29.99,29.99,Cancelled,Zumba,Lahore,30.2,0,2,51.0,2025-05-19,1
M0140,Male,58,55+,2022-07-21,Premium,79.99,79.99,Active,Cardio,Lahore,37.4,1,34,51.2,2025-08-28,7
M0141,Female,44,35-44,2022-03-16,Annual,33.33,399.99,Active,Yoga,Islamabad,41.6,1,27,54.8,2025-08-27,6
M0142,Female,41,35-44,2024-08-12,Standard,49.99,49.99,Active,Cardio,Multan,12.6,1,15,52.6,2025-08-29,5
M0143,Male,43,35-44,2022-06-26,Premium,79.99,79.99,Active,Spin,Lahore,38.2,1,28,59.2,2025-08-31,7
M0144,Male,37,35-44,2024-08-24,Annual,33.33,399.99,Active,Cardio,Faisalabad,12.3,1,44,51.2,2025-08-24,8
M0145,Female,47,45-54,2023-07-15,Basic,29.99,29.99,Active,Strength Training,Islamabad,25.6,1,20,50.9,2025-08-30,9
M0146,Male,46,45-54,2022-02-01,Standard,49.99,49.99,Expired,CrossFit,Islamabad,43.0,0,2,64.5,2025-08-11,2
M0147,Female,19,18-24,2022-01-18,Basic,29.99,29.99,Expired,Yoga,Karachi,43.4,0,4,61.5,2025-07-09,4
M0148,Male,46,45-54,2024-08-04,Basic,29.99,29.99,Active,Strength Training,Karachi,12.9,1,29,51.3,2025-08-29,8
M0149,Female,45,45-54,2022-06-11,Standard,49.99,49.99,Active,Zumba,Faisalabad,38.7,1,23,53.7,2025-08-31,6
M0150,Male,41,35-44,2024-10-28,Basic,29.99,29.99,Active,Zumba,Faisalabad,10.1,1,23,53.0,2025-08-20,7
M0151,Female,20,18-24,2022-11-24,Basic,29.99,29.99,Expired,Cardio,Karachi,33.2,0,11,67.7,2025-08-30,4
M0152,Female,63,55+,2022-04-06,Annual,33.33,399.99,Active,Cardio,Rawalpindi,40.9,1,39,55.6,2025-08-31,9
M0153,Male,35,35-44,2022-06-14,Basic,29.99,29.99,Active,Zumba,Lahore,38.6,1,13,59.8,2025-08-17,6
M0154,Female,36,35-44,2022-05-31,Premium,79.99,79.99,Active,Cardio,Karachi,39.1,1,33,51.0,2025-08-26,8
M0155,Male,28,25-34,2023-05-29,Annual,33.33,399.99,Active,HIIT,Islamabad,27.1,1,29,52.8,2025-08-24,9
M0156,Male,54,45-54,2023-04-16,Basic,29.99,29.99,Cancelled,Pilates,Lahore,28.5,0,7,62.7,2025-07-11,1
M0157,Female,39,35-44,2024-12-12,Basic,29.99,29.99,Cancelled,Yoga,Karachi,8.6,0,4,52.2,2025-08-25,2
M0158,Male,49,45-54,2023-09-24,Annual,33.33,399.99,Active,Strength Training,Lahore,23.3,1,49,57.4,2025-08-27,8
M0159,Male,42,35-44,2023-06-10,Premium,79.99,79.99,Expired,Pilates,Multan,26.7,0,5,54.6,2025-08-26,2
M0160,Female,62,55+,2023-05-09,Annual,33.33,399.99,Active,Spin,Islamabad,27.8,1,34,53.2,2025-08-31,9
M0161,Male,53,45-54,2024-04-17,Annual,33.33,399.99,Active,HIIT,Lahore,16.5,1,21,54.9,2025-08-26,9
M0162,Male,59,55+,2024-09-24,Premium,79.99,79.99,Active,Strength Training,Lahore,11.2,1,41,55.0,2025-08-13,9
M0163,Female,62,55+,2023-10-08,Premium,79.99,79.99,Active,Zumba,Karachi,22.8,1,26,59.6,2025-08-31,7
M0164,Male,63,55+,2024-07-10,Standard,49.99,49.99,Expired,Cardio,Multan,13.7,0,7,57.1,2025-08-05,3
M0165,Male,46,45-54,2024-03-29,Basic,29.99,29.99,Expired,CrossFit,Islamabad,17.1,0,1,56.0,2025-03-14,1
M0166,Female,52,45-54,2023-11-07,Premium,79.99,79.99,Active,Zumba,Multan,21.8,1,42,49.5,2025-08-28,9
M0167,Female,53,45-54,2023-02-10,Premium,79.99,79.99,Active,Strength Training,Islamabad,30.7,1,21,59.4,2025-08-26,8
M0168,Female,26,25-34,2024-08-15,Annual,33.33,399.99,Active,Spin,Lahore,12.5,1,29,54.9,2025-08-18,8
M0169,Female,60,55+,2023-12-14,Standard,49.99,49.99,Active,Yoga,Islamabad,20.6,1,15,49.4,2025-08-28,6
M0170,Male,47,45-54,2022-05-11,Basic,29.99,29.99,Active,Cardio,Islamabad,39.7,1,22,57.8,2025-07-13,9
M0171,Female,34,25-34,2024-12-03,Premium,79.99,79.99,Cancelled,Zumba,Lahore,8.9,0,2,67.0,2025-04-29,2
M0172,Female,25,25-34,2022-01-12,Standard,49.99,49.99,Cancelled,Yoga,Faisalabad,43.6,0,7,53.3,2025-08-30,5
M0173,Male,35,35-44,2023-01-09,Standard,49.99,49.99,Cancelled,Zumba,Islamabad,31.7,0,3,38.0,2025-07-25,1
M0174,Female,27,25-34,2023-05-04,Annual,33.33,399.99,Active,Yoga,Karachi,28.0,1,27,55.9,2025-08-29,7
M0175,Female,32,25-34,2024-09-07,Standard,49.99,49.99,Active,Yoga,Islamabad,11.8,1,26,54.7,2025-08-26,8
M0176,Male,46,45-54,2023-11-19,Basic,29.99,29.99,Active,Pilates,Rawalpindi,21.4,1,25,56.4,2025-08-27,8
M0177,Male,56,55+,2024-07-23,Standard,49.99,49.99,Active,Zumba,Islamabad,13.3,1,5,42.0,2025-08-28,4
M0178,Female,54,45-54,2023-09-12,Basic,29.99,29.99,Active,HIIT,Rawalpindi,23.7,1,19,59.4,2025-08-29,7
M0179,Female,46,45-54,2022-02-08,Standard,49.99,49.99,Active,Spin,Karachi,42.7,1,26,59.5,2025-08-25,9
M0180,Male,19,18-24,2022-01-16,Standard,49.99,49.99,Cancelled,HIIT,Karachi,43.5,0,6,55.2,2025-08-30,3
M0181,Female,35,35-44,2023-02-18,Basic,29.99,29.99,Active,Strength Training,Islamabad,30.4,1,26,51.4,2025-08-27,9
M0182,Male,46,45-54,2024-11-28,Basic,29.99,29.99,Active,Cardio,Lahore,9.1,1,18,57.3,2025-08-25,7
M0183,Male,27,25-34,2022-09-29,Annual,33.33,399.99,Cancelled,Zumba,Rawalpindi,35.1,0,3,55.3,2025-08-05,3
M0184,Male,62,55+,2023-01-24,Premium,79.99,79.99,Active,Pilates,Karachi,31.2,1,32,53.6,2025-08-17,8
M0185,Female,18,18-24,2022-11-20,Premium,79.99,79.99,Expired,Zumba,Lahore,33.4,0,8,59.2,2025-08-17,5
M0186,Female,29,25-34,2023-02-03,Standard,49.99,49.99,Expired,Spin,Faisalabad,30.9,0,2,51.5,2025-08-18,2
M0187,Female,63,55+,2024-07-27,Standard,49.99,49.99,Cancelled,Pilates,Faisalabad,13.2,0,3,53.0,2025-07-08,2
M0188,Female,25,25-34,2022-08-14,Basic,29.99,29.99,Cancelled,Zumba,Multan,36.6,0,7,63.9,2025-08-15,6
M0189,Male,60,55+,2024-06-03,Premium,79.99,79.99,Active,HIIT,Lahore,14.9,1,19,55.1,2025-08-30,8
M0190,Male,22,18-24,2024-01-23,Annual,33.33,399.99,Expired,Zumba,Lahore,19.3,0,4,44.2,2025-08-07,2
M0191,Male,59,55+,2024-11-09,Annual,33.33,399.99,Active,HIIT,Multan,9.7,1,33,56.6,2025-08-21,8
M0192,Male,30,25-34,2022-08-04,Annual,33.33,399.99,Active,Zumba,Lahore,36.9,1,46,57.0,2025-08-27,9
M0193,Female,28,25-34,2022-11-25,Annual,33.33,399.99,Expired,Strength Training,Islamabad,33.2,0,11,58.4,2025-08-25,5
M0194,Female,51,45-54,2024-09-14,Standard,49.99,49.99,Active,Yoga,Lahore,11.6,1,23,54.4,2025-08-24,8
M0195,Male,55,55+,2024-08-12,Basic,29.99,29.99,Active,Spin,Karachi,12.6,1,21,55.5,2025-08-29,8
M0196,Female,30,25-34,2024-07-02,Basic,29.99,29.99,Active,Spin,Lahore,14.0,1,9,54.6,2025-08-28,3
M0197,Male,20,18-24,2024-11-29,Annual,33.33,399.99,Active,HIIT,Islamabad,9.1,1,18,63.4,2025-08-16,7
M0198,Male,50,45-54,2022-08-04,Premium,79.99,79.99,Expired,CrossFit,Lahore,36.9,0,5,52.0,2025-08-11,4
M0199,Male,59,55+,2024-02-20,Premium,79.99,79.99,Expired,Strength Training,Multan,18.4,0,0,0.0,,0
M0200,Female,48,45-54,2023-12-01,Basic,29.99,29.99,Cancelled,HIIT,Islamabad,21.0,0,7,52.1,2025-08-19,4
M0201,Male,46,45-54,2022-03-23,Premium,79.99,79.99,Cancelled,HIIT,Faisalabad,41.3,0,5,58.0,2025-07-13,4
M0202,Male,57,55+,2024-12-05,Standard,49.99,49.99,Expired,Cardio,Faisalabad,8.9,0,8,50.6,2025-08-30,3
M0203,Female,24,18-24,2023-11-06,Basic,29.99,29.99,Active,CrossFit,Karachi,21.8,1,5,51.4,2025-08-07,4
M0204,Female,39,35-44,2023-07-26,Basic,29.99,29.99,Expired,CrossFit,Rawalpindi,25.2,0,11,54.5,2025-08-23,7
M0205,Female,34,25-34,2024-01-01,Basic,29.99,29.99,Expired,Yoga,Multan,20.0,0,9,42.1,2025-08-26,6
